,2020,2021,2022,2023
Market Capitalization,0,0,419792,265713
- Cash & Cash Equivalents,4645,5886,5200,4272
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,17,2,36,67
+ Total Debt,8068,7951,7313,7210
Enterprise Value,3440,2067,421941,268718
Total Capital,8765,9941,9816,9551
Total Debt/Capital (%),92.05,79.98,74.50,75.49
Total Debt / EV,2.35,3.85,0.02,0.03
EV/Sales,0.28,0.16,30.19,18.02
EV/EBITDA,1.25,0.67,143.66,84.64
EV/EBIT,1.38,0.75,163.92,97.22
EV/Cash Flow to Firm,1.31,0.70,195.88,137.29
EV/Free Cash Flow to Firm,1.15,0.60,171.45,116.11
Diluted Market Cap,0,0,434568,278775
Diluted Enterprise Value,3440,2067,436717,281780
EV per Share,5.69,3.59,766.30,530.94
TTM Sales,12303,12909,13974,14913
TTM EBITDA,2755,3065,2937,3175
TTM Operating Income,2497,2765,2574,2764
TTM Cash Flow to Firm,2633,2937,2154,1957
TTM Free Cash Flow to Firm,2992,3421,2461,2314
