,2018,2019,2020,2021,2022
Total Current Assets,0,7076,6947,7981,9360
"+ Cash, Cash Equivalents & STI",0,303,226,504,422
+ Cash & Cash Equivalents,0,303,226,504,422
+ ST Investments,0,0,0,0,0
+ Accounts & Notes Receiv,0,3749,1841,2421,3316
"+ Accounts Receivable, Net",0,2893,1298,1669,2585
"+ Notes Receivable, Net",0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0
"+ Other Receivable, Net",0,856,543,752,731
+ Inventories,0,1262,1211,1288,1505
+ Raw Materials,0,1262,1211,1288,1505
+ Work In Process,0,0,0,0,0
+ Finished Goods,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0
+ Other Inventory,0,0,0,0,0
+ Other ST Assets,0,1762,3669,3768,4117
+ Prepaid Expenses,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0
Total Noncurrent Assets,0,41919,41147,40105,37549
"+ Property, Plant & Equip, Net",0,24193,22214,19612,19822
"+ Property, Plant & Equip",0,36210,35584,35485,36548
- Accumulated Depreciation,0,12017,13370,15873,16726
+ LT Investments & Receivables,0,13425,14648,16112,14316
+ LT Investments,0,13425,14648,16112,14316
+ LT Receivables,0,0,0,0,0
+ Other LT Assets,0,4301,4285,4381,3411
+ Total Intangible Assets,0,47,47,0,0
+ Goodwill,0,47,47,0,0
+ Other Intangible Assets,0,0,0,0,0
+ LT Deferred Tax Assets,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0
+ Misc LT Assets,0,4254,4238,4381,3411
Total Assets,0,48995,48094,48086,46909
+ Payables & Accruals,0,2595,2148,2625,3734
+ Accounts Payable,0,1692,1253,1757,2828
+ Accrued Taxes,0,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0,0
+ Other Payables & Accruals,0,903,895,868,906
+ ST Debt,0,3502,1322,3302,1302
+ ST Borrowings,0,3502,1322,3302,1302
+ ST Finance Leases,0,0,0,0,0
+ Other ST Liabilities,0,1192,1749,2069,2803
+ Deferred Revenue,0,17,7,0,0
+ Derivatives & Hedging,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0
+ Misc ST Liabilities,0,1175,1742,2069,2803
Total Current Liabilities,0,7289,5219,7996,7839
+ LT Debt,0,4792,5890,4894,4466
+ LT Borrowings,0,4792,5890,4894,4466
+ LT Finance Leases,0,0,0,0,0
+ Other LT Liabilities,0,21084,22309,23582,23232
+ Accrued Liabilities,0,3763,3659,3703,3031
+ Pension Liabilities,0,878,858,847,1214
+ Deferred Revenue,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0
+ Misc LT Liabilities,0,16443,17792,19032,18987
Total Noncurrent Liabilities,0,25876,28199,28476,27698
Total Liabilities,0,33165,33418,36472,35537
+ Preferred Equity and Hybrid Capital,0,0,0,0,0
+ Share Capital & APIC,0,0,0,0,13274
+ Common Stock,0,0,0,0,13274
+ Additional Paid in Capital,0,0,0,0,0
- Treasury Stock,0,0,0,0,0
+ Retained Earnings,0,3950,2805,768,-496
+ Other Equity,0,-32,-30,-31,-1760
Equity Before Minority Interest,0,13484,12399,11219,11018
+ Minority/Non Controlling Interest,0,2346,2277,395,354
Total Equity,0,15830,14676,11614,11372
Total Liabilities & Equity,0,48995,48094,48086,46909
Shares Outstanding,326,326,326,326,327
Capital Leases - Total,0,0,0,0,0
Net Debt,0,7991,6986,7692,5346
Net Debt to Equity,0,50.48,47.60,66.23,47.01
Tangible Common Equity Ratio,0,32,30,24,24
Current Ratio,0,0.97,1.33,1.00,1.19
Cash Conversion Cycle,0,24.35,37.49,22.13,17.46
Number of Employees,0,0,0,11696,13370
