,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,20437,18924,17603,19649,24440
+ Sales & Services Revenue,20437,18924,17603,19649,24440
- Cost of Revenue,17157,15574,14753,16718,22303
+ Cost of Goods & Services,17157,15574,14753,16718,22303
Gross Profit,3280,3350,2850,2931,2137
+ Other Operating Income,0,0,0,0,0
- Operating Expenses,2353,2054,2605,3252,1643
"+ Selling, General & Admin",0,0,0,0,0
+ Research & Development,0,0,0,0,0
+ Other Operating Expense,2353,2054,2605,3252,1643
Operating Income (Loss),927,1296,245,-321,494
- Non-Operating (Income) Loss,562,-621,-591,-473,1036
"+ Interest Expense, Net",432,429,267,199,158
+ Interest Expense,432,429,357,297,251
- Interest Income,0,0,90,98,93
+ Other Non-Op (Income) Loss,130,-1050,-858,-672,878
Pretax Income,365,1917,836,152,-542
- Income Tax Expense (Benefit),-108,516,249,225,-388
- (Income) Loss from Affiliates,0,0,0,0,0
Income (Loss) from Cont Ops,443,1217,579,-83,-167
- Net Extraordinary Losses (Gains),146,184,-20,244,-14
+ Discontinued Operations,0,0,0,0,0
+ Extraord. & Accounting Changes,146,184,-20,244,-14
Income (Loss) Incl. MI,297,1033,599,-327,-153
- Minority Interest,-73,-92,10,-122,7
"Net Income, GAAP",370,1125,589,-205,-160
- Preferred Dividends,0,0,0,0,0
- Other Adjustments,0,0,0,0,0
"Net Income Avail to Common, GAAP",370,1125,589,-205,-160
Basic Weighted Avg Shares,326,326,326,326,327
"Basic EPS, GAAP",1.13,3.45,1.81,-0.63,-0.49
Basic EPS from Cont Ops,1.36,3.73,1.77,-0.25,-0.51
Diluted Weighted Avg Shares,326,326,326,326,327
"Diluted EPS, GAAP",1.13,3.45,1.81,-0.63,-0.49
Diluted EPS from Cont Ops,1.36,3.73,1.77,-0.25,-0.51
EBITDA,4342,4359,3881,4219,2921
EBITDA Margin (%),21.25,23.03,22.05,21.47,11.95
EBITA,927,1296,245,-321,494
EBIT,927,1296,245,-321,494
Gross Margin (%),16.05,17.70,16.19,14.92,8.74
Operating Margin (%),4.54,6.85,1.39,-1.63,2.02
Profit Margin (%),1.81,5.94,3.35,-1.04,-0.65
Sales per Employee,0,0,0,1679976,1827973
Dividend per Share,3.07,2.76,5.31,5.62,0.57
Depreciation Expense,3415,3063,3636,4540,2427
