,2019,2020,2021,2022
Total Current Assets,939,2975,713,605
"+ Cash, Cash Equivalents & STI",144,44,158,72
+ Cash & Cash Equivalents,144,44,158,72
+ ST Investments,0,0,0,0
+ Accounts & Notes Receiv,250,238,465,428
"+ Accounts Receivable, Net",59,42,49,53
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",191,195,416,375
"+ Other Receivable, Net",0,0,0,0
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,545,2694,91,105
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,13094,12945,14544,15166
"+ Property, Plant & Equip, Net",172,192,234,237
"+ Property, Plant & Equip",172,192,234,237
- Accumulated Depreciation,0,0,0,0
+ LT Investments & Receivables,910,448,448,707
+ LT Investments,910,448,448,707
+ LT Receivables,0,0,0,0
+ Other LT Assets,12011,12305,13862,14222
+ Total Intangible Assets,332,520,520,418
+ Goodwill,0,0,0,0
+ Other Intangible Assets,332,520,520,418
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,11680,11785,13342,13804
Total Assets,14033,15920,15258,15771
+ Payables & Accruals,456,763,755,772
+ Accounts Payable,0,269,228,266
+ Accrued Taxes,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,456,494,528,507
+ ST Debt,93,130,1166,996
+ ST Borrowings,93,130,1166,996
+ ST Finance Leases,0,0,0,0
+ Other ST Liabilities,36,416,15,4
+ Deferred Revenue,290,774,0,0
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,-253,-359,15,4
Total Current Liabilities,586,1309,1936,1772
+ LT Debt,6415,6348,5209,5711
+ LT Borrowings,6259,6168,5004,5502
+ LT Finance Leases,157,180,205,209
+ Other LT Liabilities,365,919,1054,1000
+ Accrued Liabilities,290,774,789,844
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,75,144,265,156
Total Noncurrent Liabilities,6780,7267,6262,6711
Total Liabilities,7365,8576,8199,8483
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,9689,10768,10639,10896
+ Common Stock,505,538,539,547
+ Additional Paid in Capital,9184,10230,10100,10350
- Treasury Stock,0,0,0,0
+ Retained Earnings,-3601,-3976,-4121,-4270
+ Other Equity,-3,-4,-3,28
Equity Before Minority Interest,6085,6788,6515,6655
+ Minority/Non Controlling Interest,582,556,543,634
Total Equity,6667,7345,7059,7288
Total Liabilities & Equity,14033,15920,15258,15771
Shares Outstanding,505,538,539,547
Capital Leases - Total,157,180,205,209
Net Debt,6207,6254,6012,6426
Net Debt to Equity,93.10,85.15,85.17,88.16
Tangible Common Equity Ratio,46,44,44,45
Current Ratio,1.60,2.27,0.37,0.34
Cash Conversion Cycle,0,-51.49,-108.49,-95.26
Number of Employees,204,217,196,199
