,2019,2020,2021,2022
+ Net Income,60,428,526,516
+ Depreciation & Amortization,660,697,684,711
+ Non-Cash Items,104,-476,-441,-446
+ Stock-Based Compensation,18,17,18,26
+ Deferred Income Taxes,-18,-15,-6,-6
+ Asset Impairment Charge,226,244,56,7
+ Other Non-Cash Adj,-122,-723,-510,-473
+ Chg in Non-Cash Work Cap,22,109,26,119
+ (Inc) Dec in Accts Receiv,-50,15,19,-17
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,72,93,8,136
+ Inc (Dec) in Other,0,0,0,0
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,846,758,795,900
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,0,0,0,0
+ Acq of Fixed Prod Assets,0,0,0,0
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,274,-191,0,0
+ Dec in LT Investment,274,203,0,0
+ Inc in LT Investment,0,-394,0,0
+ Net Cash From Acq & Div,430,-39,-25,105
+ Cash from Divestitures,445,0,0,126
+ Cash for Acq of Subs,-15,-39,-25,-21
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-2153,-777,556,-981
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-1449,-1008,531,-876
+ Dividends Paid,-720,-787,-650,-648
+ Net Cash From Debt,643,26,-301,325
+ Cash From Debt,2297,595,17910,16382
+ Repayments of Debt,-1654,-568,-18211,-16058
+ Cash (Repurchase) of Equity,791,1058,-8,240
+ Increase in Capital Stock,796,1069,5,308
+ Decrease in Capital Stock,-5,-11,-13,-68
+ Other Financing Activities,-66,-51,-330,-33
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,647,246,-1289,-117
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,45,-3,38,-93
EBITDA,1025,912,1025,1067
EBITDA Margin (%),51.32,55.46,54.03,51.77
Net Cash Paid for Acquisitions,-430,39,25,-105
Free Cash Flow,846,758,795,900
Free Cash Flow to Firm,0,0,0,0
Free Cash Flow to Equity,0,785,494,1225
Free Cash Flow per Basic Share,1.74,1.43,1.48,1.67
Price/Free Cash Flow,19.94,0,0,15.01
Cash Flow to Net Income,18.58,1.83,1.57,1.80
