,2019,2020,2021,2022
+ Net Income,1702,1617,3149,3555
+ Depreciation & Amortization,1140,1562,1578,1813
+ Non-Cash Items,-596,-223,-1565,-1216
+ Stock-Based Compensation,98,110,113,175
+ Deferred Income Taxes,12,1,1,13
+ Asset Impairment Charge,0,0,0,0
+ Other Non-Cash Adj,-706,-333,-1679,-1404
+ Chg in Non-Cash Work Cap,19,-19,-166,-26
+ (Inc) Dec in Accts Receiv,-97,-113,-343,-135
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,115,94,177,109
+ Inc (Dec) in Other,0,0,0,0
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,2264,2937,2996,4126
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,0,0,0,0
+ Acq of Fixed Prod Assets,0,0,0,0
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,-7,-7,-13,56
+ Dec in LT Investment,24,2,3,59
+ Inc in LT Investment,-30,-9,-17,-3
+ Net Cash From Acq & Div,113,-1824,-740,-365
+ Cash from Divestitures,389,257,58,77
+ Cash for Acq of Subs,-276,-2081,-798,-442
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-792,-1244,-1237,-4190
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-685,-3074,-1990,-4499
+ Dividends Paid,-1346,-1723,-1873,-2571
+ Net Cash From Debt,803,1031,1038,3030
+ Cash From Debt,4105,7825,3598,4411
+ Repayments of Debt,-3302,-6793,-2560,-1381
+ Cash (Repurchase) of Equity,6,-33,1,0
+ Increase in Capital Stock,6,2,1,0
+ Decrease in Capital Stock,0,-35,0,0
+ Other Financing Activities,-303,352,-174,-343
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-840,-372,-1008,116
Effect of Foreign Exchange Rates,6,19,-40,-21
Net Changes in Cash,739,-509,-2,-257
EBITDA,2132,2964,3195,4093
EBITDA Margin (%),64.01,66.77,67.14,68.52
Net Cash Paid for Acquisitions,-113,1824,740,365
Free Cash Flow,2264,2937,2996,4126
Free Cash Flow to Firm,2481,3215,3233,0
Free Cash Flow to Equity,0,3957,4027,7150
Free Cash Flow per Basic Share,3.59,4.03,4.05,5.25
Price/Free Cash Flow,25.78,0,0,22.17
Cash Flow to Net Income,1.44,1.98,1.02,1.23
