,2019,2020,2021,2022
Sales/Revenue/Turnover,3331,4439,4759,5974
+ Sales & Services Revenue,3331,4439,4759,5974
- Cost of Revenue,919,1170,1248,1509
+ Cost of Goods & Services,919,1170,1248,1509
Gross Profit,2412,3269,3511,4465
+ Other Operating Income,0,0,0,0
- Operating Expenses,1420,1867,1894,2184
"+ Selling, General & Admin",267,275,293,331
+ Research & Development,0,0,0,0
+ Other Operating Expense,1153,1592,1600,1853
Operating Income (Loss),992,1402,1617,2280
- Non-Operating (Income) Loss,-784,-345,-1705,-1410
"+ Interest Expense, Net",202,299,249,292
+ Interest Expense,227,300,250,292
- Interest Income,24,1,1,0
+ Other Non-Op (Income) Loss,-987,-644,-1955,-1702
Pretax Income,1776,1747,3323,3691
- Income Tax Expense (Benefit),75,130,174,-135
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,1702,1617,3149,3555
- Net Extraordinary Losses (Gains),258,270,418,381
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,258,270,418,381
Income (Loss) Incl. MI,1444,1347,2731,3174
- Minority Interest,-129,-135,-209,-191
"Net Income, GAAP",1573,1482,2940,3365
- Preferred Dividends,6,6,6,6
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",1567,1475,2934,3359
Basic Weighted Avg Shares,631,728,739,786
"Basic EPS, GAAP",2.48,2.03,3.97,4.28
Basic EPS from Cont Ops,2.70,2.22,4.26,4.53
Diluted Weighted Avg Shares,655,754,765,812
"Diluted EPS, GAAP",2.39,1.96,3.84,4.14
Diluted EPS from Cont Ops,2.60,2.14,4.12,4.38
EBITDA,2132,2964,3195,4093
EBITDA Margin (%),64.01,66.77,67.14,68.52
EBITA,992,1402,1617,2280
EBIT,992,1402,1617,2280
Gross Margin (%),72.41,73.64,73.77,74.74
Operating Margin (%),29.78,31.58,33.98,38.17
Profit Margin (%),47.23,33.38,61.77,56.33
Sales per Employee,1945456,2282126,2318285,2422422
Dividend per Share,2.13,2.37,2.53,3.27
Depreciation Expense,1140,1562,1578,1813
