,2019,2020,2021,2022
Total Current Assets,2161,2188,1973,810
"+ Cash, Cash Equivalents & STI",1089,598,556,278
+ Cash & Cash Equivalents,1089,598,556,278
+ ST Investments,0,0,0,0
+ Accounts & Notes Receiv,242,380,593,638
"+ Accounts Receivable, Net",86,189,424,378
"+ Notes Receivable, Net",35,45,36,117
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",121,146,133,143
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,830,1209,823,-107
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,37871,53877,56514,87088
"+ Property, Plant & Equip, Net",594,611,577,855
"+ Property, Plant & Equip",594,611,577,855
- Accumulated Depreciation,0,0,0,0
+ LT Investments & Receivables,6237,7602,8611,9699
+ LT Investments,6237,7602,8611,9699
+ LT Receivables,0,0,0,0
+ Other LT Assets,31039,45665,47325,76533
+ Total Intangible Assets,314,727,553,1183
+ Goodwill,0,0,0,0
+ Other Intangible Assets,314,727,553,1183
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,30725,44938,46773,75350
Total Assets,40032,56065,58486,87897
+ Payables & Accruals,781,1254,1376,6158
+ Accounts Payable,705,1143,1253,1712
+ Accrued Taxes,76,110,123,115
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,0,0,0,4332
+ ST Debt,184,172,491,1538
+ ST Borrowings,184,172,491,1538
+ ST Finance Leases,0,0,0,0
+ Other ST Liabilities,160,184,197,-1538
+ Deferred Revenue,118,168,186,330
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,42,16,11,-1868
Total Current Liabilities,1125,1610,2064,6158
+ LT Debt,12193,17164,17672,23876
+ LT Borrowings,11722,16677,17224,23876
+ LT Finance Leases,472,487,448,639
+ Other LT Liabilities,642,967,1008,0
+ Accrued Liabilities,118,168,0,0
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,524,799,1008,0
Total Noncurrent Liabilities,12835,18131,18680,23876
Total Liabilities,13960,19740,20744,30034
+ Preferred Equity and Hybrid Capital,69,64,64,64
+ Share Capital & APIC,25726,35496,35569,54075
+ Common Stock,6,7,7,9
+ Additional Paid in Capital,25719,35489,35562,54065
- Treasury Stock,0,0,0,0
+ Retained Earnings,-2151,-2395,-1328,-458
+ Other Equity,-990,-1194,-878,-444
Equity Before Minority Interest,22653,31972,33427,53237
+ Minority/Non Controlling Interest,3419,4353,4315,4626
Total Equity,26072,36325,37742,57863
Total Liabilities & Equity,40032,56065,58486,87897
Shares Outstanding,632,739,740,923
Capital Leases - Total,472,487,448,639
Net Debt,10817,16251,17159,25136
Net Debt to Equity,41.49,44.74,45.46,43.44
Tangible Common Equity Ratio,65,64,64,65
Current Ratio,1.92,1.36,0.96,0.13
Cash Conversion Cycle,0,-276.97,-326.73,-334.02
Number of Employees,1712,1945,2053,2466
