,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,17814,18914,18608,17456,20613,20421
+ Sales & Services Revenue,17814,18914,18608,17456,20613,20421
- Cost of Revenue,12629,13345,13189,12347,14633,14957
+ Cost of Goods & Services,12629,13345,13189,12347,14633,14957
Gross Profit,5185,5569,5419,5109,5980,5464
+ Other Operating Income,0,0,0,0,0,0
- Operating Expenses,2948,3089,3162,3239,3623,3051
"+ Selling, General & Admin",2584,2689,2761,2820,3120,2512
+ Research & Development,364,400,401,419,503,539
+ Other Operating Expense,0,0,0,0,0,0
Operating Income (Loss),2237,2480,2257,1870,2357,2413
- Non-Operating (Income) Loss,-817,-1362,-415,-985,-43,-1879
"+ Interest Expense, Net",115,-37,-27,288,306,219
+ Interest Expense,219,84,75,298,319,302
- Interest Income,104,121,102,10,13,83
+ Other Non-Op (Income) Loss,-932,-1325,-388,-1273,-349,-2098
Pretax Income,3054,3842,2672,2855,2400,4292
- Income Tax Expense (Benefit),1787,1073,517,849,699,708
- (Income) Loss from Affiliates,0,0,0,0,0,0
Income (Loss) from Cont Ops,1267,2769,2155,2006,1701,3584
- Net Extraordinary Losses (Gains),80,70,78,48,74,100
+ Discontinued Operations,0,0,0,0,0,0
+ Extraord. & Accounting Changes,80,70,78,48,74,100
Income (Loss) Incl. MI,1187,2699,2077,1958,1627,3484
- Minority Interest,-40,-35,-39,-24,-37,-50
"Net Income, GAAP",1227,2734,2116,1982,1664,3534
- Preferred Dividends,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",1227,2734,2116,1982,1664,3534
Basic Weighted Avg Shares,866,866,866,867,868,843
"Basic EPS, GAAP",1.42,3.16,2.44,2.29,1.92,4.19
Basic EPS from Cont Ops,1.46,3.20,2.49,2.32,1.96,4.25
Diluted Weighted Avg Shares,873,873,866,880,890,861
"Diluted EPS, GAAP",1.41,3.13,2.44,2.25,1.87,4.10
Diluted EPS from Cont Ops,1.45,3.17,2.49,2.28,1.91,4.16
EBITDA,2609,2837,2592,2206,2695,2793
EBITDA Margin (%),14.65,15.00,13.93,12.64,13.07,13.68
EBITA,2237,2480,2257,1870,2357,2413
EBIT,2237,2480,2257,1870,2357,2413
Gross Margin (%),29.11,29.44,29.12,29.27,29.01,26.76
Operating Margin (%),12.56,13.11,12.13,10.71,11.43,11.82
Profit Margin (%),6.89,14.45,11.37,11.35,8.07,17.31
Sales per Employee,0,0,351094,311714,355397,392712
Dividend per Share,0,0,0,0.16,0.48,0.60
Depreciation Expense,372,357,335,336,338,380
