,2017,2018,2019,2020,2021,2022
Total Current Assets,0,6109,5959,8524,11407,9879
"+ Cash, Cash Equivalents & STI",0,1129,952,3115,2987,3520
+ Cash & Cash Equivalents,0,1129,952,3115,2987,3520
+ ST Investments,0,0,0,0,0,0
+ Accounts & Notes Receiv,0,3239,3348,3437,2906,3370
"+ Accounts Receivable, Net",0,2549,2444,2567,2403,2833
"+ Notes Receivable, Net",0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0
"+ Other Receivable, Net",0,690,904,870,503,537
+ Inventories,0,1363,1332,1629,1970,2640
+ Raw Materials,0,336,290,363,559,884
+ Work In Process,0,102,120,143,197,230
+ Finished Goods,0,925,922,1123,1214,1526
+ Inventory Adjustments,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0
+ Other ST Assets,0,378,327,343,3544,349
+ Prepaid Expenses,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0
Total Noncurrent Assets,0,15628,16447,16569,14765,16207
"+ Property, Plant & Equip, Net",0,1653,2495,2598,316,601
"+ Property, Plant & Equip",0,3544,4590,4872,2466,2883
- Accumulated Depreciation,0,1891,2095,2274,2150,2282
+ LT Investments & Receivables,0,1770,1739,1513,1593,1148
+ LT Investments,0,1770,1739,1513,1593,1148
+ LT Receivables,0,0,0,0,0,0
+ Other LT Assets,0,12205,12213,12458,12856,14458
+ Total Intangible Assets,0,11063,10967,11176,9858,11319
+ Goodwill,0,9849,9884,10139,9349,9977
+ Other Intangible Assets,0,1214,1083,1037,509,1342
+ LT Deferred Tax Assets,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0
+ Misc LT Assets,0,1142,1246,1282,2998,3139
Total Assets,0,21737,22406,25093,26172,26086
+ Payables & Accruals,0,3994,4000,4246,4895,5443
+ Accounts Payable,0,1944,1701,1936,2334,2833
+ Accrued Taxes,0,325,318,234,0,0
+ Interest & Dividends Payable,0,0,0,0,0,0
+ Other Payables & Accruals,0,1725,1981,2076,2561,2610
+ ST Debt,0,0,400,352,183,140
+ ST Borrowings,0,0,237,191,183,140
+ ST Finance Leases,0,0,163,161,0,0
+ Other ST Liabilities,0,472,69,512,1549,449
+ Deferred Revenue,0,472,469,512,415,449
+ Derivatives & Hedging,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0
+ Misc ST Liabilities,0,0,-400,0,1134,0
Total Current Liabilities,0,4466,4469,5110,6627,6032
+ LT Debt,0,0,682,10678,10040,9231
+ LT Borrowings,0,0,82,10036,9513,8702
+ LT Finance Leases,0,0,682,642,527,529
+ Other LT Liabilities,0,3002,2820,2727,2411,2747
+ Accrued Liabilities,0,1280,1099,479,354,568
+ Pension Liabilities,0,419,456,524,380,349
+ Deferred Revenue,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0
+ Misc LT Liabilities,0,1303,1265,1724,1677,1830
Total Noncurrent Liabilities,0,3002,3502,13405,12451,11978
Total Liabilities,0,7468,7971,18515,19078,18010
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0
+ Share Capital & APIC,0,15132,15355,5354,5420,5490
+ Common Stock,0,15132,15355,9,9,9
+ Additional Paid in Capital,0,0,0,5345,5411,5481
- Treasury Stock,0,0,0,0,529,1910
+ Retained Earnings,0,0,0,1643,2865,5866
+ Other Equity,0,-1215,-1253,-745,-989,-1688
Equity Before Minority Interest,0,13917,14102,6252,6767,7758
+ Minority/Non Controlling Interest,0,352,333,326,327,318
Total Equity,0,14269,14435,6578,7094,8076
Total Liabilities & Equity,0,21737,22406,25093,26172,26086
Shares Outstanding,873,866,866,868,863,835
Capital Leases - Total,0,0,845,803,527,529
Net Debt,0,-1129,-633,7112,6709,5322
Net Debt to Equity,0,-7.91,-4.39,108.12,94.57,65.90
Tangible Common Equity Ratio,0,30,30,-33,-17,-22
Current Ratio,0,1.37,1.33,1.67,1.72,1.64
Cash Conversion Cycle,0,19.11,35.71,43.66,36.85,42.70
Number of Employees,0,0,53000,56000,58000,52000
