,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,430,425,422,513,650,724,909,1006
Diluted Weighted Avg Shares,430,430,427,433,557,675,824,987
Basic Weighted Avg Shares,429,429,427,427,555,675,824,987
Revenue per Share,38.90,30.93,40.23,53.58,42.95,30.67,24.92,21.43
EBITDA per Share,6.78,4.10,3.76,6.49,5.44,3.13,3.26,2.99
Operating Income per Share,5.55,2.82,1.17,3.01,2.88,1.18,1.92,1.91
"Basic EPS, GAAP",-1.41,0.94,-0.14,0.46,0.23,-14.73,-0.27,-0.61
Basic EPS from Cont Ops,-1.47,0.78,-0.92,0.66,0.49,-23.35,-0.40,-0.59
"Diluted EPS, GAAP",-1.41,0.94,-0.14,0.45,0.23,-14.73,-0.27,-0.61
Diluted EPS from Cont Ops,-1.47,0.78,-0.92,0.65,0.49,-23.35,-0.40,-0.59
Dividend per Share,0,0,0.36,0.74,1.34,1.10,0.91,0.75
Cash Flow per Share,2.98,0.61,-1.87,4.13,3.83,1.93,2.88,1.91
Free Cash Flow per Basic Share,1.56,-0.38,-3.43,1.80,1.60,0.49,1.84,0.91
Cash & Equivalents per Share,0,2.31,16.66,7.26,5.00,5.71,4.24,2.47
Book Value per Share,0,0,-0.24,0.05,0,-13.73,-11.18,-10.70
Tangible Book Value per Share,0,13.46,28.73,16.72,12.96,10.87,7.32,4.39
