,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,277,8349,7227,6622,7633,6727,6657
ST Debt,0,239,2037,942,321,889,40,677
LT Debt,0,38,6312,6285,6301,6744,6687,5980
Total Debt/EBITDA,0,0.16,5.21,2.61,2.19,3.61,2.51,2.26
Net Debt/EBITDA,0,-0.40,0.77,1.26,1.12,1.66,1.07,1.41
Total Debt/EBIT,0,0.23,16.66,5.62,4.14,9.60,4.26,3.52
Net Debt/EBIT,0,-0.58,2.46,2.72,2.11,4.40,1.82,2.21
EBITDA to Interest Expense,24.25,17.24,12.24,12.43,12.73,8.00,8.98,11.71
EBITDA-CapEx/Interest Expense,19.19,13.08,7.17,7.97,7.50,4.31,6.11,7.79
EBIT to Interest Expense,19.83,11.84,3.82,5.77,6.75,3.01,5.28,7.50
Interest Expense,120,102,131,223,237,264,299,252
Common Equity/Total Assets,0,0,-0.18,0.05,0,-26.14,-28.74,-31.48
Long-Term Debt/Equity (%),0,0.26,16.43,17.95,18.26,36.97,39.93,41.17
Long-Term Debt/Capital (%),0,8.56,19.49,25.34,32.83,221.84,-440.80,-150.52
Long-Term Debt/Total Assets (%),0,0.17,11.17,11.99,11.81,17.73,18.92,17.50
Total Debt/Equity (%),0,1.86,21.74,20.64,19.19,41.84,40.17,45.83
Total Debt/Capital (%),0,62.39,25.79,29.14,34.50,251.09,-443.44,-167.56
Total Debt/Total Assets (%),0,1.28,14.78,13.78,12.41,20.07,19.03,19.48
Net Debt to Equity,0,-4.75,3.21,10.01,9.78,19.19,17.16,28.70
Net Debt/Capital (%),0,131.28,4.86,16.62,21.16,-320.60,-53.52,-64.53
EBITDA,2910,1758,1604,2773,3018,2112,2684,2951
EBITDA-CapEx,2303,1334,939,1778,1778,1138,1828,1962
Operating Income (Loss),2380,1208,501,1287,1600,795,1579,1890
