,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,69.16,0,46.95,111.13,0,0,0
Price/Earnings Average,-41.19,52.19,-325.62,67.53,103.51,-1.12,-87.31,-47.89
Price/Earnings High,-49.87,73.02,-460.60,82.68,124.22,-1.76,-104.07,-65.33
Price/Earnings Low,-30.28,40.00,-207.34,43.99,88.58,-0.62,-70.55,-33.54
Price/Book Value,0,0,-129.63,439.95,0,-1.54,-2.14,-2.76
Price/Book Value Average,0,0,-190.58,632.85,0,-1.20,-2.08,-2.73
Price/Book Value High,0,0,-269.59,774.84,0,-1.89,-2.47,-3.72
Price/Book Value Low,0,0,-121.36,412.25,0,-0.66,-1.68,-1.91
Price/Tangible Book Value,0,4.83,1.10,1.28,1.98,1.95,3.27,6.73
Price/Tangible Book Value Average,0,3.64,1.62,1.84,1.84,1.52,3.17,6.64
Price/Tangible Book Value High,0,5.10,2.29,2.26,2.21,2.39,3.78,9.06
Price/Tangible Book Value Low,0,2.79,1.03,1.20,1.58,0.84,2.56,4.65
Price/Sales,1.18,2.10,0.79,0.40,0.60,0.69,0.96,1.38
Price/Sales Average,1.50,1.58,1.16,0.58,0.56,0.54,0.93,1.36
Price/Sales High,1.81,2.22,1.64,0.70,0.67,0.85,1.11,1.86
Price/Sales Low,1.10,1.21,0.74,0.37,0.48,0.30,0.75,0.95
Price/Cash Flow,15.37,106.38,-16.91,5.20,6.69,10.98,8.31,15.44
Price/Cash Flow Average,19.55,80.27,-24.86,7.47,6.23,8.56,8.05,15.24
Price/Cash Flow High,23.67,112.31,-35.16,9.15,7.48,13.45,9.60,20.80
Price/Cash Flow Low,14.37,61.53,-15.83,4.87,5.33,4.72,6.51,10.68
Price/Free Cash Flow,10.44,40.72,-100.82,3.37,4.24,6.28,6.11,10.13
Price/Free Cash Flow Average,13.28,30.73,-148.23,4.85,3.95,4.90,5.92,10.00
Price/Free Cash Flow High,16.08,42.99,-209.68,5.93,4.74,7.70,7.06,13.65
Price/Free Cash Flow Low,9.76,23.56,-94.39,3.16,3.38,2.70,4.78,7.01
EV/Sales,1.18,2.04,2.26,1.40,1.37,1.17,1.29,1.61
EV/Sales Average,1.50,1.53,2.62,1.61,1.32,1.01,1.26,1.59
EV/Sales High,1.82,2.16,3.10,1.77,1.45,1.34,1.46,2.09
EV/Sales Low,1.10,1.16,2.21,1.37,1.23,0.75,1.06,1.17
EV/EBITDA,6.76,15.42,24.19,11.56,10.80,11.46,9.90,11.52
EV/EBITDA Average,8.60,11.56,28.11,13.30,10.42,9.86,9.64,11.40
EV/EBITDA High,10.41,16.30,33.18,14.58,11.45,13.10,11.15,15.02
EV/EBITDA Low,6.32,8.79,23.66,11.31,9.68,7.32,8.13,8.42
EV/EBIT,8.27,22.44,77.45,24.90,20.38,30.45,16.82,17.99
EV/EBIT Average,10.51,16.82,89.98,28.65,19.66,26.20,16.39,17.80
EV/EBIT High,12.73,23.71,106.23,31.41,21.60,34.80,18.96,23.45
EV/EBIT Low,7.73,12.79,75.75,24.37,18.26,19.44,13.83,13.14
Last Price,45.76,64.97,31.64,21.44,25.63,21.21,23.95,29.53
High Price,70.45,68.59,65.80,37.76,28.65,25.99,27.66,39.78
Low Price,42.78,37.58,29.62,20.09,20.43,9.12,18.75,20.42
Enterprise Value,19677,27107,38804,32051,32604,24206,26561,34007
Enterprise Value Average,25021,20321,45082,36873,31462,20826,25883,33634
Enterprise Value High,30293,28647,53220,40423,34567,27667,29933,44319
Enterprise Value Low,18395,15453,37952,31358,29224,15453,21834,24843
