,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,19677,27644,13352,10999,16661,15356,21771,29707
- Cash & Cash Equivalents,0,981,7030,3723,3249,4132,3853,2488
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,167,24133,17548,12570,5349,1916,131
+ Total Debt,0,277,8349,7227,6622,7633,6727,6657
Enterprise Value,19677,27107,38804,32051,32604,24206,26561,34007
Total Capital,0,444,32379,24800,19192,3040,-1517,-3973
Total Debt/Capital (%),0,62.39,25.79,29.14,34.50,251.09,-443.44,-167.56
Total Debt / EV,0,0.01,0.22,0.23,0.20,0.32,0.25,0.20
EV/Sales,1.18,2.04,2.26,1.40,1.37,1.17,1.29,1.61
EV/EBITDA,6.76,15.42,24.19,11.56,10.80,11.46,9.90,11.52
EV/EBIT,8.27,22.44,77.45,24.90,20.38,30.45,16.82,17.99
EV/Cash Flow to Firm,11.20,84.62,0,17.06,14.74,15.34,12.39,0
EV/Free Cash Flow to Firm,8.33,36.42,2764.30,11.15,9.45,9.49,8.86,0
Diluted Market Cap,19677,27937,13510,9291,14276,14317,19735,29146
Diluted Enterprise Value,19677,27400,38962,30343,30219,23167,24525,33446
EV per Share,45.76,63.71,91.95,62.48,50.16,33.43,29.22,33.80
TTM Sales,16688,13269,17179,22877,23838,20705,20536,21156
TTM EBITDA,2910,1758,1604,2773,3018,2112,2684,2951
TTM Operating Income,2380,1208,501,1287,1600,795,1579,1890
TTM Cash Flow to Firm,1756,320,-651,1879,2211,1578,2143,-4733
TTM Free Cash Flow to Firm,2363,744,14,2874,3451,2552,2999,-3744
