,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0.20,0.76,0.41,0.32,0.40,0.42,0.22
Current Ratio,0,1.50,2.00,1.66,1.52,1.61,1.64,1.32
Quick Ratio,0,0.72,1.41,1.07,0.97,0.95,1.04,0.76
CFO/Avg Current Liab,0,0.11,-0.11,0.19,0.22,0.13,0.24,0.19
Common Equity/Total Assets,0,0,-0.18,0.05,0,-26.14,-28.74,-31.48
Long-Term Debt/Equity (%),0,0.26,16.43,17.95,18.26,36.97,39.93,41.17
Long-Term Debt/Capital (%),0,8.56,19.49,25.34,32.83,221.84,-440.80,-150.52
Long-Term Debt/Total Assets (%),0,0.17,11.17,11.99,11.81,17.73,18.92,17.50
Total Debt/Equity (%),0,1.86,21.74,20.64,19.19,41.84,40.17,45.83
Total Debt/Capital (%),0,62.39,25.79,29.14,34.50,251.09,-443.44,-167.56
Total Debt/Total Assets (%),0,1.28,14.78,13.78,12.41,20.07,19.03,19.48
CFO/Total Liabilities,0,3.82,-4.42,10.11,11.27,6.59,12.76,9.61
CFO/CapEx,2.10,0.62,-1.20,1.77,1.71,1.34,2.77,1.91
Altman's Z-Score,0,4.02,1.43,1.70,1.83,1.08,1.44,1.59
