,2019,2020,2021,2022
Market Capitalization,26937,30983,42386,30273
- Cash & Cash Equivalents,108,309,367,144
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,16,15,17,32
+ Total Debt,12861,13426,14523,15171
Enterprise Value,39705,44116,56558,45330
Total Capital,7317,6838,7337,7722
Total Debt/Capital (%),175.76,196.33,197.93,196.47
Total Debt / EV,0.32,0.30,0.26,0.33
EV/Sales,19.71,21.18,24.50,17.21
EV/EBITDA,29.88,31.24,36.65,26.62
EV/EBIT,62.84,63.90,67.08,45.54
EV/Cash Flow to Firm,30.67,74.28,36.11,27.19
EV/Free Cash Flow to Firm,27.40,61.06,33.27,24.09
Diluted Market Cap,27640,32012,43250,30662
Diluted Enterprise Value,40408,45145,57423,45721
EV per Share,355.22,401.72,519.09,419.74
TTM Sales,2015,2083,2309,2633
TTM EBITDA,1329,1412,1543,1703
TTM Operating Income,632,690,843,995
TTM Cash Flow to Firm,1295,594,1566,1667
TTM Free Cash Flow to Firm,1449,722,1700,1882
