,2019,2020,2021,2022
Price/Earnings,184.95,1305.45,178.98,65.58
Price/Earnings Average,168.61,1340.60,145.45,73.93
Price/Earnings High,207.54,1519.40,179.96,91.02
Price/Earnings Low,121.32,949.48,107.15,55.26
Price/Book Value,-4.85,-4.69,-5.88,-4.05
Price/Book Value Average,-4.42,-4.82,-4.78,-4.56
Price/Book Value High,-5.44,-5.46,-5.92,-5.62
Price/Book Value Low,-3.18,-3.41,-3.52,-3.41
Price/Tangible Book Value,-3.70,-3.89,-5.25,-3.77
Price/Tangible Book Value Average,-3.37,-3.99,-4.27,-4.25
Price/Tangible Book Value High,-4.15,-4.53,-5.28,-5.24
Price/Tangible Book Value Low,-2.43,-2.83,-3.14,-3.18
Price/Sales,13.49,15.11,18.42,11.49
Price/Sales Average,12.30,15.51,14.97,12.95
Price/Sales High,15.14,17.58,18.52,15.95
Price/Sales Low,8.85,10.99,11.03,9.68
Price/Cash Flow,27.60,27.94,35.74,22.97
Price/Cash Flow Average,25.16,28.70,29.05,25.89
Price/Cash Flow High,30.97,32.52,35.94,31.87
Price/Cash Flow Low,18.11,20.32,21.40,19.35
Price/Free Cash Flow,24.26,25.52,32.68,20.01
Price/Free Cash Flow Average,22.12,26.20,26.55,22.56
Price/Free Cash Flow High,27.23,29.70,32.86,27.77
Price/Free Cash Flow Low,15.92,18.56,19.56,16.86
EV/Sales,19.71,21.18,24.50,17.21
EV/Sales Average,18.53,21.58,21.06,18.68
EV/Sales High,21.34,23.62,24.60,21.67
EV/Sales Low,15.11,17.12,17.13,15.40
EV/EBITDA,29.88,31.24,36.65,26.62
EV/EBITDA Average,28.09,31.83,31.50,28.88
EV/EBITDA High,32.35,34.83,36.80,33.51
EV/EBITDA Low,22.90,25.25,25.62,23.82
EV/EBIT,62.84,63.90,67.08,45.54
EV/EBIT Average,59.08,65.11,57.66,49.41
EV/EBIT High,68.05,71.26,67.35,57.34
EV/EBIT Low,48.17,51.66,46.90,40.76
Last Price,240.99,282.13,389.02,280.31
High Price,270.42,328.37,391.15,389.02
Low Price,158.08,205.20,232.88,236.20
Enterprise Value,39705,44116,56558,45330
Enterprise Value Average,37325,44950,48617,49184
Enterprise Value High,42995,49194,56791,57072
Enterprise Value Low,30437,35668,39546,40568
