,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,-7.65,0,0,0,136.24,38.12,28.10,37.89
Return on Assets (%),0,-1.77,-3.29,-0.38,3.43,2.59,1.80,2.38,4.58
Return on Capital (%),0,-8.02,-15.85,-2.25,14.55,11.40,0,8.26,11.75
Return on Invested Capital (%),0,-6.41,-13.64,-1.51,8.27,11.93,0,8.06,9.65
Gross Margin (%),17.49,18.60,20.88,20.08,18.67,20.89,26.26,27.67,27.55
EBITDA Margin (%),17.83,17.30,16.99,13.59,13.63,15.44,21.79,22.28,21.90
Operating Margin (%),6.89,6.98,7.86,9.34,9.52,11.66,15.36,16.85,17.22
Incremental Operating Margin (%),0,-2.33,-563.16,41.70,11.76,180.34,9.48,-10.45,19.83
Pretax Margin (%),0.90,1.47,3.33,3.63,6.19,4.05,3.25,6.52,10.70
Profit Margin (%),2.14,-2.59,-7.51,-0.57,4.58,3.31,4.96,5.19,8.28
Net Income to Common Margin (%),1.97,-3.15,-8.07,-0.98,4.57,3.30,4.92,5.15,8.25
Effective Tax Rate (%),153.98,185.25,354.72,115.74,26.04,18.26,0,20.37,22.61
Dvd Payout Ratio (%),-80.92,-154.00,-15.03,-85.83,18.28,11.75,4.31,6.64,8.99
Sustainable Growth Rate (%),0,-19.43,0,0,0,120.23,36.47,26.23,34.48
