,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,8130,13119,8100,13362,12277,13342,16243
- Cash & Cash Equivalents,0,1362,1863,2150,2277,1648,1610,720,791
+ Preferred Equity and Hybrid Capital,0,58,58,55,55,55,55,55,55
+ Minority/Non Controlling Interest,0,2085,26,14,12,14,0,0,0
+ Total Debt,0,8827,8084,6844,6330,5940,5075,4232,4194
Enterprise Value,0,9608,14435,17882,12220,17723,15797,16909,19701
Total Capital,0,21195,7380,6146,6522,6571,5927,5312,5689
Total Debt/Capital (%),0,41.65,109.54,111.36,97.06,90.40,85.63,79.67,73.72
Total Debt / EV,0,0.92,0.56,0.38,0.52,0.34,0.32,0.25,0.21
EV/Sales,0,0.77,1.16,1.38,0.87,1.25,3.00,3.40,3.48
EV/EBITDA,0,4.48,6.85,10.15,6.40,8.09,13.78,15.26,15.89
EV/EBIT,0,11.08,14.82,14.78,9.16,10.71,19.55,20.18,20.21
EV/Cash Flow to Firm,0,8.15,0,28.71,24.61,25.98,32.97,25.81,21.64
EV/Free Cash Flow to Firm,0,4.07,19.86,14.67,9.66,13.39,21.17,19.79,17.86
Diluted Market Cap,0,0,8121,12290,8430,14293,12450,13763,16592
Diluted Enterprise Value,0,9608,14426,17053,12550,18654,15970,17330,20050
EV per Share,0,21.91,32.92,37.14,25.29,40.94,36.49,40.10,47.80
TTM Sales,12542,12413,12394,12960,14014,14192,5259,4972,5663
TTM EBITDA,2236,2147,2106,1761,1910,2191,1146,1108,1240
TTM Operating Income,864,867,974,1210,1334,1655,808,838,975
TTM Cash Flow to Firm,1435,1179,-398,623,497,682,479,655,910
TTM Free Cash Flow to Firm,2654,2359,727,1219,1265,1323,746,854,1103
