,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,12.65,29.42,47.63,53.15,35.11
Price/Earnings Average,0,0,-8.59,-91.01,16.39,22.80,33.15,52.59,31.17
Price/Earnings High,0,0,-9.92,-108.99,23.52,30.49,57.56,60.52,35.44
Price/Earnings Low,0,0,-7.34,-66.19,11.80,15.36,16.58,38.48,26.14
Price/Book Value,0,0,-10.32,-17.10,64.80,23.78,15.40,13.02,11.28
Price/Book Value Average,0,0,-10.91,-16.09,83.98,18.42,10.72,12.88,10.01
Price/Book Value High,0,0,-12.60,-19.26,120.51,24.64,18.61,14.82,11.39
Price/Book Value Low,0,0,-9.32,-11.70,60.43,12.42,5.36,9.43,8.40
Price/Tangible Book Value,0,0,-184.78,-20.09,72.97,-22.84,-10.69,-11.47,-16.44
Price/Tangible Book Value Average,0,0,-195.43,-18.89,94.58,-17.70,-7.44,-11.35,-14.59
Price/Tangible Book Value High,0,0,-225.64,-22.63,135.71,-23.67,-12.92,-13.06,-16.59
Price/Tangible Book Value Low,0,0,-166.94,-13.74,68.05,-11.93,-3.72,-8.31,-12.24
Price/Sales,0,0,0.66,0.95,0.58,0.97,2.35,2.74,2.90
Price/Sales Average,0,0,0.69,0.89,0.75,0.75,1.63,2.71,2.57
Price/Sales High,0,0,0.80,1.07,1.07,1.01,2.83,3.12,2.92
Price/Sales Low,0,0,0.59,0.65,0.54,0.51,0.82,1.98,2.16
Price/Cash Flow,0,0,9.30,17.53,37.30,33.91,1370.73,30.30,22.37
Price/Cash Flow Average,0,0,9.84,16.49,48.35,26.28,953.93,29.98,19.86
Price/Cash Flow High,0,0,11.36,19.74,69.38,35.14,1656.38,34.51,22.58
Price/Cash Flow Low,0,0,8.40,11.99,34.79,17.71,477.05,21.94,16.66
Price/Free Cash Flow,0,0,4.06,9.48,8.56,13.65,45.11,21.24,17.92
Price/Free Cash Flow Average,0,0,4.30,8.91,11.09,10.58,31.39,21.02,15.91
Price/Free Cash Flow High,0,0,4.96,10.67,15.92,14.15,54.51,24.19,18.09
Price/Free Cash Flow Low,0,0,3.67,6.48,7.98,7.13,15.70,15.38,13.34
EV/Sales,0,0.77,1.16,1.38,0.87,1.25,3.00,3.40,3.48
EV/Sales Average,0,0.77,1.20,1.32,1.04,1.04,2.29,3.37,3.16
EV/Sales High,0,0.77,1.31,1.51,1.37,1.28,3.49,3.77,3.51
EV/Sales Low,0,0.77,1.10,1.06,0.83,0.80,1.48,2.66,2.75
EV/EBITDA,0,4.48,6.85,10.15,6.40,8.09,13.78,15.26,15.89
EV/EBITDA Average,0,4.48,7.08,9.71,7.65,6.72,10.53,15.13,14.42
EV/EBITDA High,0,4.48,7.71,11.09,10.04,8.31,16.02,16.93,16.01
EV/EBITDA Low,0,4.48,6.48,7.80,6.11,5.18,6.80,11.94,12.54
EV/EBIT,0,11.08,14.82,14.78,9.16,10.71,19.55,20.18,20.21
EV/EBIT Average,0,11.08,15.30,14.13,10.96,8.89,14.93,20.01,18.34
EV/EBIT High,0,11.08,16.67,16.15,14.38,11.00,22.72,22.39,20.36
EV/EBIT Low,0,11.08,14.01,11.35,8.75,6.85,9.64,15.79,15.95
Last Price,0,0,18.54,27.25,16.76,30.87,28.36,31.64,39.41
High Price,0,0,22.64,30.69,31.17,31.99,34.27,36.03,39.78
Low Price,0,0,16.75,18.64,15.63,16.12,9.87,22.91,29.35
Enterprise Value,0,9608,14435,17882,12220,17723,15797,16909,19701
Enterprise Value Average,0,9608,14904,17101,14618,14715,12064,16770,17878
Enterprise Value High,0,9608,16233,19538,19184,18208,18356,18761,19854
Enterprise Value Low,0,9608,13650,13737,11674,11339,7793,13228,15555
