,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0.26,0.68,0.76,0.65,0.40,0.97,0.57,0.53
Current Ratio,0,1.53,2.16,2.26,1.87,1.42,2.21,2.18,2.12
Quick Ratio,0,0.52,1.21,1.25,1.07,0.75,1.18,0.91,0.90
CFO/Avg Current Liab,0,0.61,0.22,0.25,0.07,0.11,0.00,0.31,0.54
Common Equity/Total Assets,0,28.03,-3.93,-4.10,0.67,3.20,6.96,10.03,14.04
Long-Term Debt/Equity (%),0,62.18,155.83,138.22,105.57,106.17,131.26,120.50,115.58
Long-Term Debt/Capital (%),0,41.45,109.00,110.74,90.40,74.66,79.28,79.57,73.16
Long-Term Debt/Total Assets (%),0,24.09,40.14,36.36,31.54,27.91,41.05,41.36,40.59
Total Debt/Equity (%),0,62.47,156.61,138.99,113.34,128.54,141.76,120.64,116.47
Total Debt/Capital (%),0,41.65,109.54,111.36,97.06,90.40,85.63,79.67,73.72
Total Debt/Total Assets (%),0,24.20,40.34,36.56,33.86,33.79,44.34,41.41,40.90
CFO/Total Liabilities,0,7.08,5.87,5.08,1.66,3.13,0.11,6.69,11.02
CFO/CapEx,1.37,1.34,0.78,1.18,0.28,0.63,0.03,2.26,3.80
Altman's Z-Score,0,1.03,1.51,2.05,2.00,2.38,2.54,3.04,3.62
