,2019,2020,2021,2022
Sales/Revenue/Turnover,1159,1058,1365,1728
+ Sales & Services Revenue,1159,1058,1365,1728
- Cost of Revenue,337,343,418,531
+ Cost of Goods & Services,337,343,418,531
Gross Profit,822,715,947,1197
+ Other Operating Income,0,0,0,0
- Operating Expenses,375,382,499,625
"+ Selling, General & Admin",97,93,104,120
+ Research & Development,0,0,0,0
+ Other Operating Expense,278,289,395,505
Operating Income (Loss),447,333,447,572
- Non-Operating (Income) Loss,135,-595,-298,528
"+ Interest Expense, Net",177,187,204,227
+ Interest Expense,177,187,204,227
- Interest Income,0,0,0,0
+ Other Non-Op (Income) Loss,-42,-782,-502,301
Pretax Income,312,928,745,44
- Income Tax Expense (Benefit),-3,1,3,57
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,414,1003,850,115
- Net Extraordinary Losses (Gains),6,4,11,-23
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,6,4,11,-23
Income (Loss) Incl. MI,408,999,838,137
- Minority Interest,-3,-2,-6,11
"Net Income, GAAP",411,1001,844,126
- Preferred Dividends,52,25,25,25
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",359,975,819,101
Basic Weighted Avg Shares,420,430,506,616
"Basic EPS, GAAP",0.85,2.27,1.62,0.16
Basic EPS from Cont Ops,0.98,2.33,1.68,0.19
Diluted Weighted Avg Shares,422,432,511,618
"Diluted EPS, GAAP",0.85,2.26,1.60,0.16
Diluted EPS from Cont Ops,0.98,2.32,1.66,0.19
EBITDA,725,622,843,1064
EBITDA Margin (%),62.56,58.77,61.74,61.57
EBITA,447,333,447,559
EBIT,447,333,447,572
Gross Margin (%),70.92,67.58,69.37,69.27
Operating Margin (%),38.58,31.45,32.77,33.12
Profit Margin (%),35.43,94.61,61.85,7.29
Sales per Employee,2308534,2185729,2251790,2703731
Dividend per Share,1.26,0.88,0.75,0.88
Depreciation Expense,278,289,395,505
