,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,26359,31361,29278,34741,41404,39738,56321,58394,87358,81877
- Cash & Cash Equivalents,2303,1958,1374,1026,1205,1066,1155,2089,1752,1442
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,70,79,89,80,83,73,150,156,213,229
+ Total Debt,2955,3387,4414,4807,5487,5824,14224,13579,13162,13472
Enterprise Value,27081,32869,32407,38602,45769,44569,69540,70040,98981,94136
Total Capital,13038,14362,16366,17836,19271,20805,30134,30568,32325,34563
Total Debt/Capital (%),22.66,23.58,26.97,26.95,28.47,27.99,47.20,44.42,40.72,38.98
Total Debt / EV,0.11,0.10,0.14,0.12,0.12,0.13,0.20,0.19,0.13,0.14
EV/Sales,2.21,2.54,2.51,2.92,3.26,2.98,4.18,4.07,4.99,4.54
EV/EBITDA,11.12,12.22,11.40,12.44,14.59,13.69,20.92,18.40,19.57,18.83
EV/EBIT,13.04,14.28,13.40,14.49,17.24,16.14,25.98,22.84,22.95,21.99
EV/Cash Flow to Firm,18.58,14.74,16.17,18.01,22.56,16.86,25.36,18.63,25.70,24.65
EV/Free Cash Flow to Firm,14.57,12.65,13.92,16.11,19.64,15.07,21.99,17.05,23.25,21.94
Diluted Market Cap,26901,32107,30070,35417,42241,40303,57145,58885,89000,83567
Diluted Enterprise Value,27623,33615,33199,39278,46606,45134,70364,70531,100623,95826
EV per Share,49.53,60.85,62.10,75.10,89.97,88.46,138.08,137.95,196.57,190.26
TTM Sales,12261,12951,12893,13211,14024,14950,16652,17224,19820,20720
TTM EBITDA,2435,2689,2842,3102,3136,3255,3324,3807,5059,4999
TTM Operating Income,2077,2301,2419,2664,2655,2761,2677,3066,4312,4280
TTM Cash Flow to Firm,1458,2230,2004,2144,2028,2644,2742,3759,3851,3820
TTM Free Cash Flow to Firm,1859,2598,2329,2397,2330,2958,3163,4107,4257,4290
