,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,750,750,749,741,743,735,705
Diluted Weighted Avg Shares,750,750,750,743,742,749,726
Basic Weighted Avg Shares,750,750,750,743,741,744,721
Revenue per Share,64.21,58.31,80.37,57.85,52.05,73.92,78.92
EBITDA per Share,9.53,9.24,14.53,8.70,7.33,14.43,11.73
Operating Income per Share,5.72,5.84,10.09,4.74,3.45,10.61,7.91
"Basic EPS, GAAP",5.30,0.62,6.00,-1.83,1.65,8.49,6.36
Basic EPS from Cont Ops,5.87,-1.72,6.18,-2.31,1.75,8.61,6.44
"Diluted EPS, GAAP",5.30,0.62,6.00,-1.83,1.65,8.43,6.31
Diluted EPS from Cont Ops,5.87,-1.72,6.18,-2.31,1.74,8.55,6.39
Dividend per Share,3.28,4.31,4.95,2.81,2.80,2.79,2.78
Cash Flow per Share,-3.94,-6.57,5.19,7.99,8.41,9.43,10.37
Free Cash Flow per Basic Share,-4.19,-6.82,5.13,7.97,8.23,8.32,10.04
Cash & Equivalents per Share,0,8.26,3.70,3.22,6.87,4.06,5.51
Book Value per Share,0,37.40,39.81,23.00,22.03,28.06,32.90
Tangible Book Value per Share,0,10.03,12.30,2.08,1.00,9.65,14.42
