,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,3.32,15.55,-5.80,7.33,34.11,20.91
Return on Assets (%),0,1.16,5.72,-1.97,2.01,10.14,7.41
Return on Capital (%),0,-18.43,10.37,0,4.60,18.53,12.93
Return on Invested Capital (%),0,-97.95,12.20,0,4.83,18.28,11.80
Gross Margin (%),21.78,16.88,20.86,14.65,13.48,19.61,15.05
EBITDA Margin (%),14.84,15.84,18.08,15.04,14.09,19.52,14.87
Operating Margin (%),8.90,10.02,12.56,8.20,6.63,14.35,10.02
Incremental Operating Margin (%),0,-2.15,19.26,23.37,21.86,32.45,-112.98
Pretax Margin (%),9.16,0.54,9.82,-2.90,5.37,14.82,10.70
Profit Margin (%),8.97,1.06,7.46,-3.16,3.18,11.48,8.05
Net Income to Common Margin (%),8.26,1.06,7.46,-3.16,3.18,11.48,8.05
Effective Tax Rate (%),0.20,643.04,21.71,0,37.52,21.36,23.81
Dvd Payout Ratio (%),51.13,-279.60,77.85,-127.91,151.94,31.90,42.70
Sustainable Growth Rate (%),0,12.59,3.45,-13.22,-3.81,23.23,11.98
