,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,40293,41225,41746,35519
- Cash & Cash Equivalents,0,6188,2669,2367,5104,2988,3886
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,1186,1138,553,570,574,529
+ Total Debt,0,21001,19899,19156,19044,16135,16706
Enterprise Value,0,15995,18268,57614,55735,55467,48868
Total Capital,0,50237,50845,36762,35983,37340,40423
Total Debt/Capital (%),0,41.80,39.14,52.11,52.92,43.21,41.33
Total Debt / EV,0,1.31,1.09,0.33,0.34,0.29,0.34
EV/Sales,0,0.37,0.30,1.34,1.45,1.01,0.86
EV/EBITDA,0,2.31,1.68,8.92,10.26,5.17,5.78
EV/EBIT,0,3.65,2.41,16.37,21.81,7.03,8.57
EV/Cash Flow to Firm,0,0,3.83,7.99,8.27,7.31,6.12
EV/Free Cash Flow to Firm,0,0,3.79,7.98,8.10,6.60,5.95
Diluted Market Cap,0,0,0,40347,41175,42528,36563
Diluted Enterprise Value,0,15999,18368,57689,55685,56249,49912
EV per Share,0,21.33,24.40,77.70,74.99,75.44,69.33
TTM Sales,48158,43730,60278,42951,38542,54968,56902
TTM EBITDA,7149,6928,10898,6458,5430,10729,8460
TTM Operating Income,4287,4382,7569,3520,2556,7887,5702
TTM Cash Flow to Firm,-2101,-9892,4769,7215,6743,7584,7979
TTM Free Cash Flow to Firm,-1914,-9705,4815,7224,6878,8407,8214
