,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0.43,0.20,0.22,0.46,0.23,0.34
Current Ratio,0,1.89,1.84,1.57,1.72,1.58,1.81
Quick Ratio,0,1.27,1.10,0.93,1.12,0.95,1.03
CFO/Avg Current Liab,0,-0.69,0.28,0.49,0.57,0.58,0.61
Common Equity/Total Assets,0,35.09,38.52,28.18,26.63,32.75,38.26
Long-Term Debt/Equity (%),0,73.18,68.84,125.68,138.50,82.34,73.87
Long-Term Debt/Capital (%),0,39.34,37.87,48.19,50.06,41.32,38.83
Long-Term Debt/Total Assets (%),0,24.72,24.88,29.27,29.30,24.49,25.90
Total Debt/Equity (%),0,77.76,71.15,135.92,146.44,86.10,78.63
Total Debt/Capital (%),0,41.80,39.14,52.11,52.92,43.21,41.33
Total Debt/Total Assets (%),0,26.27,25.72,31.65,30.98,25.62,27.57
CFO/Total Liabilities,0,-9.31,7.88,12.77,12.85,15.84,18.99
CFO/CapEx,-15.81,-26.36,84.65,658.89,46.12,8.52,31.81
Altman's Z-Score,0,1.87,2.40,2.31,2.12,2.88,2.95
