,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.50,0.31,0.35,0.31,0.32,0.21,0.22,0.38,0.35,0.40
Current Ratio,1.50,0.85,1.18,1.09,0.95,0.80,0.93,1.29,0.99,1.46
Quick Ratio,1.37,0.76,1.00,0.99,0.84,0.71,0.82,1.19,0.91,1.37
CFO/Avg Current Liab,0.73,0.69,0.45,0.76,0.79,0.60,0.57,0.81,0.87,1.14
Common Equity/Total Assets,102.66,107.74,111.25,120.84,127.32,138.72,136.52,136.55,164.91,205.19
Long-Term Debt/Equity (%),84.23,82.71,118.08,110.56,108.50,200.56,209.41,245.45,0,0
Long-Term Debt/Capital (%),26.89,20.54,26.11,24.14,21.00,21.12,21.81,26.21,27.26,38.40
Long-Term Debt/Total Assets (%),38.48,31.54,41.95,40.46,36.86,42.14,42.33,50.59,67.78,129.18
Total Debt/Equity (%),88.57,120.10,139.13,127.79,141.79,289.66,284.64,274.14,-1183.22,-236.03
Total Debt/Capital (%),28.27,29.83,30.76,27.90,27.45,30.50,29.65,29.27,33.68,39.01
Total Debt/Total Assets (%),40.46,45.79,49.42,46.76,48.17,60.87,57.54,56.51,83.73,131.26
CFO/Total Liabilities,21.58,23.73,16.77,23.92,27.22,22.50,22.76,28.62,25.25,22.70
CFO/CapEx,5.64,13.90,5.32,8.43,11.38,7.13,10.86,16.60,55.99,84.50
Altman's Z-Score,11.08,9.87,10.98,12.08,11.80,13.23,12.16,13.03,12.05,13.89
