,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,26234,33906,18283,23355,25185,26003,28118,24187,31493,40072
- Cash & Cash Equivalents,681,240,100,170,899,168,289,142,1680,152
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,35,35,35,35,35
+ Minority/Non Controlling Interest,4057,11395,10077,9403,6519,1337,3001,2814,2678,2560
+ Total Debt,11579,21690,24487,23502,20935,22414,22288,22344,23675,22904
Enterprise Value,41189,66751,52747,56090,51740,49621,53153,49238,56201,65419
Total Capital,10106,28319,27388,24041,19881,15029,15569,13693,14401,13481
Total Debt/Capital (%),114.58,76.59,89.41,97.76,105.30,149.14,143.16,163.18,164.40,169.90
Total Debt / EV,0.28,0.32,0.46,0.42,0.40,0.45,0.42,0.45,0.42,0.35
EV/Sales,6.00,8.74,7.17,7.48,6.44,5.71,6.48,6.38,5.29,5.97
EV/EBITDA,18.81,26.56,17.97,16.85,14.92,13.41,12.96,11.47,12.56,13.01
EV/EBIT,29.96,49.93,44.03,35.82,29.89,25.14,22.27,19.15,21.34,21.68
EV/Cash Flow to Firm,16.23,25.66,15.16,11.77,6.78,12.59,11.80,11.36,11.63,11.19
EV/Free Cash Flow to Firm,6.74,10.06,7.94,8.23,5.14,6.89,7.99,11.27,11.61,8.05
Diluted Market Cap,26395,33906,18290,23376,25262,20913,28165,24230,31576,40226
Diluted Enterprise Value,41350,66751,52754,56111,51817,44531,53200,49281,56284,65573
EV per Share,60.31,89.36,70.42,74.79,62.64,40.99,43.86,40.59,46.26,53.71
TTM Sales,6860,7637,7360,7499,8031,8686,8201,7719,10627,10965
TTM EBITDA,2190,2513,2936,3329,3467,3699,4101,4292,4475,5027
TTM Operating Income,1375,1337,1198,1566,1731,1974,2387,2571,2633,3018
TTM Cash Flow to Firm,2538,2602,3479,4764,7635,3941,4506,4334,4833,5844
TTM Free Cash Flow to Firm,6110,6633,6646,6815,10075,7204,6655,4370,4841,8127
