,2016,2017,2018,2019,2020,2021,2022
+ Net Income,-216,-256,-385,-514,-747,12202,8362
+ Depreciation & Amortization,15,21,25,31,31,232,348
+ Non-Cash Items,42,41,72,78,166,196,-274
+ Stock-Based Compensation,39,40,73,81,93,142,226
+ Deferred Income Taxes,0,0,0,0,0,-318,-559
+ Asset Impairment Charge,0,0,0,0,0,0,0
+ Other Non-Cash Adj,2,1,-1,-3,73,372,59
+ Chg in Non-Cash Work Cap,226,-137,-43,-54,2577,990,-3455
+ (Inc) Dec in Accts Receiv,52,0,1,7,-1385,-1784,1790
+ (Inc) Dec in Inventories,0,0,0,0,-47,-1394,492
+ (Inc) Dec in Prepaid Assets,-8,1,-5,10,-241,-489,-1699
+ Inc (Dec) in Accts Payable,11,22,24,-27,400,2069,24
+ Inc (Dec) in Other,170,-160,-62,-43,3850,2588,-4062
+ Net Cash From Disc Ops,0,0,0,0,0,0,0
Cash from Operating Activities,67,-331,-331,-459,2027,13620,4981
+ Change in Fixed & Intang,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-33,-58,-106,-32,-67,-284,-400
+ Acq of Fixed Prod Assets,-33,-58,-106,-32,-67,-284,-400
+ Acq of Intangible Assets,0,0,0,0,0,0,0
+ Net Change in LT Investment,-607,476,-267,17,-1604,-8209,-4736
+ Dec in LT Investment,809,1203,960,1162,1352,4443,6699
+ Inc in LT Investment,-1415,-727,-1228,-1145,-2956,-12652,-11435
+ Net Cash From Acq & Div,0,0,0,0,0,0,0
+ Cash from Divestitures,0,0,0,0,0,0,0
+ Cash for Acq of Subs,0,0,0,0,0,0,0
+ Cash for JVs,0,0,0,0,0,0,0
+ Other Investing Activities,-9,-1,1,0,0,-30,-40
+ Net Cash From Disc Ops,0,0,0,0,0,0,0
Cash from Investing Activities,-649,416,-372,-15,-1672,-8523,-5176
+ Dividends Paid,0,0,0,0,0,0,0
+ Net Cash From Debt,0,1,9,1,-6,-140,0
+ Cash From Debt,0,1,12,1,0,0,0
+ Repayments of Debt,0,0,-2,0,-6,-140,0
+ Cash (Repurchase) of Equity,0,0,563,0,1853,-857,-3329
+ Increase in Capital Stock,0,0,563,0,1853,0,0
+ Decrease in Capital Stock,0,0,0,0,0,-857,-3329
+ Other Financing Activities,473,-1,654,50,187,124,-119
+ Net Cash From Disc Ops,0,0,0,0,0,0,0
Cash from Financing Activities,473,0,1227,51,2033,-873,-3448
Effect of Foreign Exchange Rates,0,0,0,0,0,0,0
Net Changes in Cash,-109,85,524,-423,2388,4224,-3643
EBITDA,-209,-249,-388,-515,-732,13528,9768
EBITDA Margin (%),-205.50,-140.60,-317.03,-1071.49,-266.64,76.27,50.71
Net Cash Paid for Acquisitions,0,0,0,0,0,0,0
Free Cash Flow,34,-390,-437,-491,1960,13336,4581
Free Cash Flow to Firm,0,0,0,0,0,13353,4606
Free Cash Flow to Equity,0,-402,-1617,-490,1953,13196,4581
Free Cash Flow per Basic Share,0.09,-1.04,-5.38,-1.48,5.14,33.09,11.63
Price/Free Cash Flow,0,0,-5.10,-14.74,20.23,7.80,13.89
Cash Flow to Net Income,-0.31,1.30,0.86,0.89,-2.71,1.12,0.60
