,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,1087,783,1563,1263,6298,17570,13431
"+ Cash, Cash Equivalents & STI",1058,756,1521,1103,4608,10727,9902
+ Cash & Cash Equivalents,50,135,658,236,2624,6848,3205
+ ST Investments,1008,621,863,867,1984,3879,6697
+ Accounts & Notes Receiv,18,17,31,16,1411,3296,1385
"+ Accounts Receivable, Net",14,13,23,9,1401,3175,1385
"+ Notes Receivable, Net",0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0
"+ Other Receivable, Net",4,3,8,7,10,121,0
+ Inventories,0,0,0,0,47,1441,949
+ Raw Materials,0,0,0,0,36,870,575
+ Work In Process,0,0,0,0,9,338,205
+ Finished Goods,0,0,0,0,1,233,169
+ Inventory Adjustments,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0
+ Other ST Assets,11,11,11,144,233,2106,1195
+ Prepaid Expenses,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0
Total Noncurrent Assets,330,301,399,326,1039,7099,12427
"+ Property, Plant & Equip, Net",81,139,212,288,387,1383,1481
"+ Property, Plant & Equip",109,187,276,382,507,1735,2139
- Accumulated Depreciation,28,48,64,95,120,352,658
+ LT Investments & Receivables,237,146,173,160,639,6843,8318
+ LT Investments,237,146,173,160,639,6843,8318
+ LT Receivables,0,0,0,0,0,0,0
+ Other LT Assets,12,16,14,-121,13,-1127,2628
+ Total Intangible Assets,0,0,0,0,0,0,0
+ Goodwill,0,0,0,0,0,0,0
+ Other Intangible Assets,0,0,0,0,0,0,0
+ LT Deferred Tax Assets,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0
+ Misc LT Assets,12,16,14,-121,13,-1127,2628
Total Assets,1417,1084,1962,1589,7337,24669,25858
+ Payables & Accruals,42,75,87,47,393,2524,2636
+ Accounts Payable,28,21,31,7,18,302,487
+ Accrued Taxes,0,0,0,0,0,876,48
+ Interest & Dividends Payable,0,0,0,0,0,0,0
+ Other Payables & Accruals,13,54,56,40,374,1346,2101
+ ST Debt,0,0,0,0,30,211,196
+ ST Borrowings,0,0,0,0,0,0,0
+ ST Finance Leases,0,0,0,0,30,211,196
+ Other ST Liabilities,121,116,136,96,3966,6393,2091
+ Deferred Revenue,108,97,109,63,3867,6253,2038
+ Derivatives & Hedging,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0
+ Misc ST Liabilities,14,20,27,32,99,140,53
Total Current Liabilities,163,191,223,143,4389,9128,4923
+ LT Debt,13,16,33,132,207,705,1004
+ LT Borrowings,0,0,0,0,0,0,0
+ LT Finance Leases,13,16,33,132,207,705,1004
+ Other LT Liabilities,400,252,176,139,179,691,808
+ Accrued Liabilities,399,251,175,139,177,615,673
+ Pension Liabilities,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0
+ Misc LT Liabilities,1,2,0,0,2,76,135
Total Noncurrent Liabilities,413,268,209,271,387,1396,1812
Total Liabilities,575,459,432,415,4775,10524,6735
+ Preferred Equity and Hybrid Capital,1177,1177,0,0,0,0,0
+ Share Capital & APIC,31,72,2538,2669,4802,4211,1173
+ Common Stock,0,0,0,0,0,0,0
+ Additional Paid in Capital,31,72,2538,2669,4802,4211,1173
- Treasury Stock,0,0,0,0,0,0,0
+ Retained Earnings,-366,-622,-1007,-1496,-2244,9958,18320
+ Other Equity,0,-1,-1,2,3,-24,-370
Equity Before Minority Interest,842,625,1530,1175,2561,14145,19123
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0
Total Equity,842,625,1530,1175,2561,14145,19123
Total Liabilities & Equity,1417,1084,1962,1589,7337,24669,25858
Shares Outstanding,324,324,329,337,399,403,385
Capital Leases - Total,13,16,33,132,237,916,1200
Net Debt,-50,-135,-658,-236,-2624,-6848,-3205
Net Debt to Equity,-5.95,-21.57,-43.02,-20.08,-102.44,-48.41,-16.76
Tangible Common Equity Ratio,-24,-51,78,74,35,57,74
Current Ratio,6.68,4.09,7.02,8.82,1.43,1.92,2.73
Cash Conversion Cycle,0,0,0,0,1922.72,136.24,94.49
Number of Employees,0,700,760,830,1300,2700,3900
