,2019,2020,2021,2022
Sales/Revenue/Turnover,1028,1044,1144,1423
+ Sales & Services Revenue,1028,1044,1144,1423
- Cost of Revenue,397,423,448,529
+ Cost of Goods & Services,397,423,448,529
Gross Profit,631,621,696,894
+ Other Operating Income,0,0,0,0
- Operating Expenses,381,410,470,632
"+ Selling, General & Admin",53,54,59,60
+ Research & Development,0,0,0,0
+ Other Operating Expense,328,356,410,572
Operating Income (Loss),250,211,226,261
- Non-Operating (Income) Loss,25,80,-88,-403
"+ Interest Expense, Net",78,89,96,110
+ Interest Expense,81,92,97,113
- Interest Income,3,3,1,3
+ Other Non-Op (Income) Loss,-53,-8,-184,-514
Pretax Income,225,131,314,664
- Income Tax Expense (Benefit),1,2,2,3
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,224,129,312,662
- Net Extraordinary Losses (Gains),9,9,17,16
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,9,9,17,16
Income (Loss) Incl. MI,215,119,295,646
- Minority Interest,-5,-5,-8,-8
"Net Income, GAAP",220,124,304,654
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",220,124,304,654
Basic Weighted Avg Shares,98,99,102,108
"Basic EPS, GAAP",2.23,1.25,2.98,6.07
Basic EPS from Cont Ops,2.28,1.29,3.06,6.15
Diluted Weighted Avg Shares,99,99,103,108
"Diluted EPS, GAAP",2.21,1.25,2.96,6.03
Diluted EPS from Cont Ops,2.26,1.29,3.04,6.10
EBITDA,587,578,647,838
EBITDA Margin (%),57.03,55.38,56.57,58.92
EBITA,250,211,226,261
EBIT,250,211,226,261
Gross Margin (%),61.36,59.48,60.84,62.80
Operating Margin (%),24.34,20.20,19.78,18.37
Profit Margin (%),21.35,11.87,26.57,45.94
Sales per Employee,623310,614022,672697,862276
Dividend per Share,3.22,3.35,3.36,3.69
Depreciation Expense,336,367,421,577
