,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,0,0,15882,18367,16630,16729,24070,20977,22450
ST Debt,0,0,0,0,1749,0,0,2999,999,2250
LT Debt,0,0,0,15882,16618,16630,16729,21071,19978,20200
Total Debt/EBITDA,0,0,0,1.55,1.44,1.17,1.04,1.62,1.26,1.09
Net Debt/EBITDA,-0.29,-0.23,-0.37,1.00,0.67,0.60,0.55,0.52,0.27,0.33
Total Debt/EBIT,0,0,0,1.63,1.51,1.23,1.09,1.71,1.33,1.14
Net Debt/EBIT,-0.30,-0.24,-0.39,1.05,0.70,0.62,0.58,0.55,0.28,0.34
EBITDA to Interest Expense,0,-1073.12,-3190.67,24.04,22.59,23.16,30.13,28.80,32.38,38.18
EBITDA-CapEx/Interest Expense,0,-1004.00,-3052.67,22.81,21.34,21.99,28.71,27.37,31.01,36.38
EBIT to Interest Expense,0,-1018.75,-3026.00,22.86,21.60,22.16,28.89,27.31,30.81,36.58
Interest Expense,0,-8,-3,427,563,612,533,516,513,538
Common Equity/Total Assets,22.18,23.67,29.43,16.34,13.99,16.35,18.60,17.41,44.98,44.43
Long-Term Debt/Equity (%),0,0,0,48.26,50.73,48.90,48.23,58.19,53.15,56.77
Long-Term Debt/Capital (%),0,0,0,49.54,49.75,49.76,46.87,48.73,32.57,33.42
Long-Term Debt/Total Assets (%),0,0,0,24.80,24.45,24.02,23.05,26.04,24.10,23.63
Total Debt/Equity (%),0,0,0,48.26,56.07,48.90,48.23,66.47,55.81,63.10
Total Debt/Capital (%),0,0,0,49.54,54.99,49.76,46.87,55.66,34.20,37.15
Total Debt/Total Assets (%),0,0,0,24.80,27.02,24.02,23.05,29.75,25.31,26.26
Net Debt to Equity,-8.14,-7.19,-11.79,31.18,25.92,24.90,25.63,21.49,11.94,19.00
Net Debt/Capital (%),-37.77,-27.53,-42.26,38.81,36.10,33.53,31.92,28.87,10.01,15.11
EBITDA,7639,8585,9572,10264,12719,14174,16057,14859,16611,20542
EBITDA-CapEx,7168,8032,9158,9741,12012,13456,15301,14123,15906,19572
Operating Income (Loss),7242,8150,9078,9762,12163,13561,15401,14092,15807,19681
