,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,-136,-352,-31,19,269,159,-32,523,593
+ Depreciation & Amortization,160,163,173,174,180,178,501,422,433
+ Non-Cash Items,210,353,-67,25,5,-109,-199,26,37
+ Stock-Based Compensation,0,0,0,175,3,19,51,87,79
+ Deferred Income Taxes,-25,-63,-84,-249,4,-21,-104,-104,-86
+ Asset Impairment Charge,235,421,25,2,0,0,20,0,0
+ Other Non-Cash Adj,0,-5,-8,97,-2,-107,-166,43,44
+ Chg in Non-Cash Work Cap,-93,9,91,-17,-10,-4,384,-344,-197
+ (Inc) Dec in Accts Receiv,-70,84,-49,-66,13,55,100,-62,-195
+ (Inc) Dec in Inventories,-51,-28,23,-23,-13,19,171,-134,-226
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,5,-16,79,15,31,-35,124,-102,222
+ Inc (Dec) in Other,24,-31,37,57,-41,-42,-11,-45,2
+ Net Cash From Disc Ops,0,0,0,0,0,120,261,-12,-5
Cash from Operating Activities,142,172,166,201,445,343,914,616,860
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,13,6,9,4,1,2,10,0
+ Disp of Fixed Prod Assets,0,13,6,9,4,1,2,10,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-74,-71,-74,-57,-52,-38,-42,-64,-95
+ Acq of Fixed Prod Assets,-74,-71,-74,-57,-52,-38,-42,-64,-95
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,0,0,0,6,0,0,0,0,0
+ Dec in LT Investment,0,0,0,6,0,0,0,0,0
+ Inc in LT Investment,0,0,0,0,0,0,0,0,0
+ Net Cash From Acq & Div,-82,-26,-14,-19,-186,-12,0,0,-247
+ Cash from Divestitures,0,0,5,0,0,0,0,0,0
+ Cash for Acq of Subs,-82,-26,-19,-19,-186,-12,0,0,-247
+ Cash for JVs,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,0,0,0,0,0,-5,2,969,9
+ Net Cash From Disc Ops,0,0,0,0,0,-5,-7,1944,4
Cash from Investing Activities,-155,-84,-82,-61,-235,-54,-38,914,-333
+ Dividends Paid,0,0,0,0,0,0,0,-8,-32
+ Net Cash From Debt,-15,-33,-25,-869,-338,-33,361,-436,-656
+ Cash From Debt,391,48,1,2011,0,0,1980,0,0
+ Repayments of Debt,-406,-81,-26,-2879,-338,-33,-1619,-436,-656
+ Cash (Repurchase) of Equity,13,2,-11,890,-41,-19,-2,-737,-261
+ Increase in Capital Stock,16,4,3,894,0,0,0,0,0
+ Decrease in Capital Stock,-3,-2,-14,-4,-41,-19,-2,-737,-261
+ Other Financing Activities,-1,-4,-7,-39,5,40,-30,24,-5
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-4,-35,-43,-17,-373,-11,329,-1157,-954
Effect of Foreign Exchange Rates,-17,-9,-13,15,-9,7,40,-14,-70
Net Changes in Cash,-17,53,41,122,-163,278,1205,373,-427
EBITDA,491,385,329,284,623,453,607,988,1250
EBITDA Margin (%),19.12,18.09,16.98,11.96,23.18,18.49,12.35,19.17,21.13
Net Cash Paid for Acquisitions,82,26,14,19,186,12,0,0,247
Free Cash Flow,68,101,91,144,392,305,872,551,766
Free Cash Flow to Firm,0,0,0,0,469,379,0,0,848
Free Cash Flow to Equity,0,81,72,-716,58,274,1235,125,110
Free Cash Flow per Basic Share,0.36,0.53,0.48,0.79,1.95,1.50,2.28,1.33,1.89
Price/Free Cash Flow,0,0,0,24.84,8.58,20.00,18.11,37.96,22.45
Cash Flow to Net Income,-1.05,-0.49,-4.52,10.90,1.65,2.16,-27.46,1.09,1.42
