,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,2570,2127,1939,2375,2690,2452,4910,5152,5916
+ Sales & Services Revenue,2570,2127,1939,2375,2690,2452,4910,5152,5916
- Cost of Revenue,1633,1348,1223,1478,1677,1540,3297,3164,3591
+ Cost of Goods & Services,1633,1348,1223,1478,1677,1540,3297,3164,3591
Gross Profit,937,779,717,898,1013,912,1613,1989,2326
+ Other Operating Income,0,0,0,0,0,0,0,0,0
- Operating Expenses,606,557,560,788,570,636,1508,1423,1508
"+ Selling, General & Admin",476,427,414,447,435,436,895,1028,1096
+ Research & Development,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,130,130,146,341,135,200,613,395,413
Operating Income (Loss),331,222,157,110,443,275,106,566,817
- Non-Operating (Income) Loss,444,589,220,223,94,84,125,53,75
"+ Interest Expense, Net",164,163,170,141,100,89,111,88,103
+ Interest Expense,164,163,170,141,100,89,111,88,103
- Interest Income,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,280,426,49,82,-6,-4,14,-35,-28
Pretax Income,-113,-367,-63,-113,350,191,-19,513,742
- Income Tax Expense (Benefit),23,-15,-32,-131,80,32,13,-22,150
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-136,-352,-31,19,269,159,-32,523,593
- Net Extraordinary Losses (Gains),-2,-2,11,0,0,0,2,-37,-8
+ Discontinued Operations,0,0,0,0,0,62,24,42,15
+ Extraord. & Accounting Changes,-2,-2,11,0,0,-62,-23,-78,-23
Income (Loss) Incl. MI,-134,-350,-42,18,269,159,-34,560,601
- Minority Interest,1,1,-5,0,0,0,-1,-2,-4
"Net Income, GAAP",-135,-351,-37,18,269,159,-33,563,605
- Preferred Dividends,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",-135,-351,-37,18,269,159,-33,563,605
Basic Weighted Avg Shares,190,190,190,182,202,204,383,415,405
"Basic EPS, GAAP",-0.71,-1.85,-0.19,0.10,1.34,0.78,-0.09,1.36,1.49
Basic EPS from Cont Ops,-0.72,-1.86,-0.16,0.10,1.34,0.78,-0.08,1.26,1.46
Diluted Weighted Avg Shares,190,190,190,188,209,209,383,421,410
"Diluted EPS, GAAP",-0.71,-1.85,-0.19,0.10,1.29,0.76,-0.09,1.34,1.47
Diluted EPS from Cont Ops,-0.72,-1.86,-0.16,0.10,1.29,0.76,-0.08,1.24,1.45
EBITDA,491,385,329,284,623,453,607,988,1250
EBITDA Margin (%),19.12,18.09,16.98,11.96,23.18,18.49,12.35,19.17,21.13
EBITA,331,222,157,110,443,275,106,566,817
EBIT,331,222,157,110,443,275,106,566,817
Gross Margin (%),36.45,36.63,36.96,37.80,37.64,37.18,32.86,38.59,39.31
Operating Margin (%),12.88,10.43,8.08,4.64,16.47,11.23,2.15,10.98,13.81
Profit Margin (%),-5.25,-16.51,-1.89,0.77,10.02,6.49,-0.68,10.92,10.22
Sales per Employee,0,0,317940,371156,401463,371500,308818,322025,348018
Dividend per Share,0,0,0,0,0,0,0,0.02,0.08
Depreciation Expense,160,163,173,174,180,178,501,422,433
