,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0,0,0,0,0,0,0,0,0
Current Ratio,0,0,0,0,0,0,0,0,0,0
Quick Ratio,0,0,0,0,0,0,0,0,0,0
CFO/Avg Current Liab,0,0,0,0,0,0,0,0,0,0
Common Equity/Total Assets,4.27,4.75,5.08,6.79,6.90,7.90,8.36,7.29,8.25,9.33
Long-Term Debt/Equity (%),53.27,53.56,56.63,63.71,74.28,79.26,67.34,57.10,61.49,75.53
Long-Term Debt/Capital (%),52.38,49.92,47.91,47.65,48.62,48.51,41.47,40.24,38.92,41.87
Long-Term Debt/Total Assets (%),5.48,5.46,5.60,7.56,8.34,8.93,7.37,5.61,6.00,7.60
Total Debt/Equity (%),53.52,53.56,57.97,65.62,81.64,84.00,76.83,57.10,61.49,75.53
Total Debt/Capital (%),52.63,49.92,49.04,49.08,53.45,51.42,47.32,40.24,38.92,41.87
Total Debt/Total Assets (%),5.51,5.46,5.74,7.79,9.17,9.46,8.40,5.61,6.00,7.60
CFO/Total Liabilities,-0.19,1.30,1.16,2.13,1.41,1.86,0.03,1.19,0.71,4.13
CFO/CapEx,-1.05,5.67,6.87,7.57,3.88,5.41,0.08,4.12,2.34,11.19
Altman's Z-Score,0.18,0.19,0.19,0.25,0.24,0.24,0.25,0.19,0.23,0.24
