,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,324,324,329,337,399,403,385
Diluted Weighted Avg Shares,376,376,81,331,381,431,416
Basic Weighted Avg Shares,376,376,81,331,381,403,394
Revenue per Share,0.27,0.47,1.51,0.15,0.72,44.01,48.89
EBITDA per Share,-0.55,-0.66,-4.79,-1.56,-1.92,33.57,24.79
Operating Income per Share,-0.60,-0.72,-5.09,-1.65,-2.00,32.99,23.91
"Basic EPS, GAAP",-0.59,-0.72,-4.90,-1.55,-1.96,30.28,21.22
Basic EPS from Cont Ops,-0.58,-0.68,-4.74,-1.55,-1.96,30.28,21.22
"Diluted EPS, GAAP",-0.59,-0.72,-4.90,-1.55,-1.96,28.31,20.10
Diluted EPS from Cont Ops,-0.58,-0.68,-4.74,-1.55,-1.96,28.31,20.10
Dividend per Share,0,0,0,0,0,0,0
Cash Flow per Share,0.18,-0.88,-4.08,-1.39,5.32,33.80,12.64
Free Cash Flow per Basic Share,0.09,-1.04,-5.38,-1.48,5.14,33.09,11.63
Cash & Equivalents per Share,3.26,2.33,4.63,3.28,11.55,26.62,25.72
Book Value per Share,-1.13,-1.92,-3.06,-4.45,-5.63,24.71,47.58
Tangible Book Value per Share,-1.03,-1.70,4.65,3.49,6.42,35.10,49.67
