,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,4653,6411,44317,101395,69154
- Cash & Cash Equivalents,50,135,658,236,2624,6848,3205
+ Preferred Equity and Hybrid Capital,1177,1177,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0
+ Total Debt,13,16,33,132,237,916,1200
Enterprise Value,131,436,3165,5440,39947,91584,60452
Total Capital,823,570,-973,-1364,-2006,10874,19520
Total Debt/Capital (%),1.52,2.75,-3.44,-9.70,-11.83,8.42,6.15
Total Debt / EV,0.10,0.04,0.01,0.02,0.01,0.01,0.02
EV/Sales,1.29,2.47,25.83,113.26,145.53,5.16,3.14
EV/EBITDA,0,0,0,0,0,6.77,6.19
EV/EBIT,0,0,0,0,0,6.89,6.42
EV/Cash Flow to Firm,1.96,0,0,0,19.61,6.72,12.08
EV/Free Cash Flow to Firm,1.31,0,0,0,18.98,6.58,11.18
Diluted Market Cap,0,0,1148,6302,42378,108440,74722
Diluted Enterprise Value,1139,1057,523,6198,39991,102508,72717
EV per Share,0.40,1.34,9.62,16.17,100.17,227.26,157.02
TTM Sales,102,177,123,48,274,17736,19263
TTM EBITDA,-209,-249,-388,-515,-732,13528,9768
TTM Operating Income,-224,-269,-413,-546,-763,13296,9420
TTM Cash Flow to Firm,67,-332,-334,-452,2037,13637,5006
TTM Free Cash Flow to Firm,100,-273,-228,-421,2104,13921,5406
