,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0,0,0,59.14
Return on Assets (%),0,-20.46,-25.26,-28.95,-16.74,76.25,33.10
Return on Capital (%),0,0,0,0,0,275.57,55.19
Return on Invested Capital (%),0,0,0,0,0,130.36,45.32
Gross Margin (%),100.00,100.00,100.00,100.00,97.11,85.24,71.88
EBITDA Margin (%),-205.50,-140.60,-317.03,-1071.49,-266.64,76.27,50.71
Operating Margin (%),-220.39,-152.20,-337.33,-1136.06,-278.02,74.97,48.90
Incremental Operating Margin (%),0,0,0,0,0,80.52,-253.83
Pretax Margin (%),-211.91,-144.65,-313.77,-1071.52,-271.24,74.90,49.71
Profit Margin (%),-212.94,-144.61,-314.04,-1070.07,-272.16,68.80,43.41
Net Income to Common Margin (%),-218.30,-152.47,-324.65,-1070.07,-272.16,68.80,43.41
Effective Tax Rate (%),0,0,0,0,0,8.15,12.67
Dvd Payout Ratio (%),2.45,5.16,3.27,0,0,0,0
Sustainable Growth Rate (%),0,0,0,0,0,0,59.14
