,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,6.50,3.95,6.83,7.71,1.05,1.18,2.01
Current Ratio,6.68,4.09,7.02,8.82,1.43,1.92,2.73
Quick Ratio,6.61,4.04,6.97,7.82,1.37,1.54,2.29
CFO/Avg Current Liab,0,-1.87,-1.60,-2.51,0.89,2.02,0.71
Common Equity/Total Assets,-25.81,-57.34,-51.30,-94.15,-30.58,40.37,70.85
Long-Term Debt/Equity (%),1.48,2.51,2.19,11.27,8.09,4.98,5.25
Long-Term Debt/Capital (%),1.52,2.75,-3.44,-9.70,-10.33,6.48,5.14
Long-Term Debt/Total Assets (%),0.88,1.45,1.71,8.33,2.83,2.86,3.88
Total Debt/Equity (%),1.48,2.51,2.19,11.27,9.26,6.48,6.28
Total Debt/Capital (%),1.52,2.75,-3.44,-9.70,-11.83,8.42,6.15
Total Debt/Total Assets (%),0.88,1.45,1.71,8.33,3.23,3.71,4.64
CFO/Total Liabilities,11.60,-72.19,-76.61,-110.70,42.45,129.42,73.96
CFO/CapEx,2.01,-5.68,-3.13,-14.55,30.05,47.96,12.45
Altman's Z-Score,-0.03,-0.80,5.93,7.70,5.15,9.25,9.49
