,2019,2020,2021,2022
Sales/Revenue/Turnover,1641,1678,1778,2020
+ Sales & Services Revenue,1641,1678,1778,2020
- Cost of Revenue,1110,1151,1205,1267
+ Cost of Goods & Services,1110,1151,1205,1267
Gross Profit,531,527,573,753
+ Other Operating Income,0,0,0,0
- Operating Expenses,101,99,109,124
"+ Selling, General & Admin",101,99,109,124
+ Research & Development,0,0,0,0
+ Other Operating Expense,0,0,0,0
Operating Income (Loss),430,428,465,629
- Non-Operating (Income) Loss,62,162,-98,-18
"+ Interest Expense, Net",180,168,157,155
+ Interest Expense,180,168,157,155
- Interest Income,0,0,0,0
+ Other Non-Op (Income) Loss,-118,-6,-255,-173
Pretax Income,369,266,563,647
- Income Tax Expense (Benefit),4,3,14,-6
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,367,264,551,655
- Net Extraordinary Losses (Gains),26,18,34,35
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,26,18,34,35
Income (Loss) Incl. MI,341,246,517,620
- Minority Interest,-13,-9,-17,-17
"Net Income, GAAP",354,255,534,637
- Preferred Dividends,4,4,4,4
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",350,251,530,634
Basic Weighted Avg Shares,114,114,115,115
"Basic EPS, GAAP",3.08,2.20,4.62,5.49
Basic EPS from Cont Ops,3.22,2.31,4.80,5.68
Diluted Weighted Avg Shares,114,115,115,116
"Diluted EPS, GAAP",3.07,2.19,4.61,5.48
Diluted EPS from Cont Ops,3.21,2.31,4.79,5.66
EBITDA,928,939,999,1173
EBITDA Margin (%),56.55,55.97,56.20,58.07
EBITA,431,428,465,629
EBIT,430,428,465,629
Gross Margin (%),32.38,31.39,32.25,37.29
Operating Margin (%),26.22,25.48,26.14,31.13
Profit Margin (%),21.56,15.19,30.02,31.56
Sales per Employee,653011,663235,732022,846194
Dividend per Share,3.88,4.04,4.13,4.71
Depreciation Expense,497,512,534,544
