,2019,2020,2021,2022
+ Net Income,367,264,551,655
+ Depreciation & Amortization,498,512,534,544
+ Non-Cash Items,-74,16,-246,-124
+ Stock-Based Compensation,14,14,17,19
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,0,0,0,0
+ Other Non-Cash Adj,-87,1,-263,-143
+ Chg in Non-Cash Work Cap,-9,33,56,-16
+ (Inc) Dec in Accts Receiv,0,0,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,0,0,0,0
+ Inc (Dec) in Other,-9,33,56,-16
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,781,824,895,1058
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-190,-226,-280,-296
+ Acq of Fixed Prod Assets,-190,-226,-280,-296
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,0,0,0,0
+ Dec in LT Investment,0,0,0,0
+ Inc in LT Investment,0,0,0,0
+ Net Cash From Acq & Div,-5,-5,-5,-14
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,-5,-5,-5,-14
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-43,-254,31,-95
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-238,-485,-254,-405
+ Dividends Paid,-441,-461,-474,-543
+ Net Cash From Debt,-68,108,-45,-106
+ Cash From Debt,1694,805,594,20
+ Repayments of Debt,-1763,-696,-639,-126
+ Cash (Repurchase) of Equity,0,0,0,0
+ Increase in Capital Stock,0,0,0,0
+ Decrease in Capital Stock,0,0,0,0
+ Other Financing Activities,-15,-22,-28,-73
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-524,-374,-546,-723
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,19,-35,95,-70
EBITDA,928,939,999,1173
EBITDA Margin (%),56.55,55.97,56.20,58.07
Net Cash Paid for Acquisitions,5,5,5,14
Free Cash Flow,591,598,615,762
Free Cash Flow to Firm,769,764,768,0
Free Cash Flow to Equity,0,703,567,652
Free Cash Flow per Basic Share,5.19,5.24,5.36,6.61
Price/Free Cash Flow,15.49,0,0,13.39
Cash Flow to Net Income,2.21,3.23,1.68,1.66
