,2014,2015,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,4.29,5.97,5.60,5.46,5.83,5.50,6.14,6.35,6.35,6.34
Days Sales Outstanding,84.99,61.10,65.20,66.80,62.59,66.38,59.40,57.45,57.47,57.54
Inventory Turnover,19.52,26.46,18.27,21.95,22.28,38.37,265.17,60.69,42.63,43.89
Days Inventory Outstanding,18.70,13.80,19.97,16.63,16.38,9.51,1.38,6.01,8.56,8.32
Accounts Payable Turnover,6.29,10.32,6.11,5.76,5.89,5.29,5.81,5.37,5.43,5.61
Accounts Payable Turnover Days,58.06,35.38,59.74,63.38,61.98,69.02,62.86,68.02,67.20,65.08
Cash Conversion Cycle,45.63,39.51,25.43,20.04,17.00,6.88,-2.08,-4.56,-1.17,0.78
Inventory to Cash Days,66.29,47.30,45.23,50.18,46.21,56.87,58.03,51.44,48.91,49.23
Inventories,59,273,216,348,453,0,72,276,274,287
Raw Materials,0,0,0,0,0,0,46,136,154,180
Work In Process,0,0,0,0,0,0,13,41,27,34
Finished Goods,0,0,0,0,0,0,13,99,93,73
Other Inventory,59,273,216,348,453,0,0,0,0,0
