,2014,2015,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.43,0.47,0.63,0.19,0.18,0.16,0.29,0.18,0.23,0.13
Current Ratio,1.78,1.70,1.72,1.18,1.21,1.38,1.21,1.15,1.12,0.92
Quick Ratio,1.50,1.41,1.52,1.01,1.01,1.07,1.03,0.92,0.90,0.73
CFO/Avg Current Liab,0.14,0.40,0.41,0.29,0.25,0.36,0.45,0.51,0.34,0.27
Common Equity/Total Assets,0.60,-12.92,-8.20,-1.94,-0.08,4.24,9.57,10.61,14.18,18.11
Long-Term Debt/Equity (%),83.45,116.63,101.69,102.48,90.33,92.18,95.14,134.54,119.29,103.33
Long-Term Debt/Capital (%),98.01,156.87,133.91,103.30,98.04,87.22,77.18,78.37,68.20,56.86
Long-Term Debt/Total Assets (%),31.98,35.48,32.16,35.32,33.99,34.80,34.71,41.63,39.08,34.41
Total Debt/Equity (%),83.57,116.83,101.87,104.45,91.96,94.35,96.93,137.12,130.41,126.12
Total Debt/Capital (%),98.16,157.14,134.16,105.29,99.81,89.28,78.63,79.88,74.56,69.40
Total Debt/Total Assets (%),32.03,35.54,32.22,35.99,34.61,35.62,35.36,42.43,42.72,42.00
CFO/Total Liabilities,7.60,17.35,17.76,7.45,9.38,14.07,16.67,15.44,11.56,11.31
CFO/CapEx,3.68,13.66,15.19,15.38,6.49,10.52,8.20,7.29,9.91,7.64
Altman's Z-Score,4.15,3.98,4.28,3.83,5.16,5.20,5.41,4.61,4.70,4.88
