,2014,2015,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),61.31,0,0,0,0,0,105.21,56.47,46.95,32.26
Return on Assets (%),3.27,-8.68,7.63,3.90,4.04,6.54,7.36,5.74,5.84,5.20
Return on Capital (%),15.36,0,37.71,16.08,16.19,21.51,19.89,14.21,12.52,10.74
Return on Invested Capital (%),9.04,0,12.86,9.31,9.94,11.43,10.09,9.79,9.44,8.94
Gross Margin (%),13.27,13.25,12.15,12.10,12.26,14.75,13.95,14.13,14.66,14.48
EBITDA Margin (%),7.02,8.35,8.45,9.09,10.14,10.12,9.85,10.16,10.77,10.19
Operating Margin (%),5.61,7.13,7.59,7.35,6.83,7.60,7.74,7.86,8.40,7.88
Incremental Operating Margin (%),8.29,-5.22,108.70,6.75,5.66,333.33,9.33,8.98,12.99,-3.03
Pretax Margin (%),1.52,-5.59,6.45,4.52,3.86,5.98,7.81,6.35,7.04,6.15
Profit Margin (%),2.84,-6.38,4.99,3.46,3.60,5.70,6.01,5.11,5.48,4.76
Net Income to Common Margin (%),2.84,-6.38,4.99,3.46,3.60,5.70,6.01,5.11,5.48,4.76
Effective Tax Rate (%),4.55,0,28.05,22.64,7.38,4.59,22.63,19.46,21.51,21.78
Dvd Payout Ratio (%),567.86,-28.79,49.58,457.66,54.70,33.96,29.42,31.11,26.01,28.39
Sustainable Growth Rate (%),-286.84,0,0,0,0,0,74.25,38.90,34.73,23.10
