,2014,2015,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,22.91,0,16.45,21.38,26.82,13.62,21.03,23.51,16.64,21.04
Price/Earnings Average,19.58,-8.98,12.99,19.78,23.17,16.80,16.39,21.78,18.56,20.00
Price/Earnings High,24.89,-10.57,17.11,24.85,27.29,18.79,21.17,28.45,21.30,22.22
Price/Earnings Low,14.00,-7.28,10.86,15.80,19.86,13.08,10.86,15.38,15.50,16.21
Price/Book Value,144.86,-7.23,-14.88,-43.34,-1392.87,20.57,15.43,11.14,6.62,6.09
Price/Book Value Average,123.80,-6.84,-11.75,-40.10,-1203.57,25.36,12.03,10.32,7.38,5.79
Price/Book Value High,157.38,-8.05,-15.47,-50.38,-1417.24,28.38,15.54,13.49,8.47,6.43
Price/Book Value Low,88.49,-5.54,-9.82,-32.03,-1031.33,19.75,7.97,7.29,6.16,4.69
Price/Tangible Book Value,-17.84,-12.45,-25.13,-2.50,-3.98,-3.48,-6.83,-4.05,-3.48,-4.37
Price/Tangible Book Value Average,-15.25,-11.79,-19.84,-2.32,-3.44,-4.29,-5.32,-3.75,-3.88,-4.16
Price/Tangible Book Value High,-19.38,-13.88,-26.13,-2.91,-4.05,-4.80,-6.88,-4.90,-4.45,-4.62
Price/Tangible Book Value Low,-10.90,-9.55,-16.59,-1.85,-2.95,-3.34,-3.53,-2.65,-3.24,-3.37
Price/Sales,0.65,0.61,0.82,0.74,0.97,0.78,1.26,1.20,0.91,1.00
Price/Sales Average,0.56,0.57,0.65,0.69,0.83,0.96,0.99,1.11,1.02,0.95
Price/Sales High,0.71,0.67,0.85,0.86,0.98,1.07,1.27,1.45,1.17,1.06
Price/Sales Low,0.40,0.46,0.54,0.55,0.71,0.75,0.65,0.79,0.85,0.77
Price/Cash Flow,19.27,7.74,10.19,11.70,18.66,10.30,14.14,11.07,12.15,14.62
Price/Cash Flow Average,16.47,7.32,8.05,10.82,16.12,12.71,11.02,10.25,13.56,13.90
Price/Cash Flow High,20.93,8.62,10.60,13.60,18.99,14.22,14.24,13.40,15.56,15.44
Price/Cash Flow Low,11.77,5.93,6.73,8.64,13.82,9.90,7.30,7.24,11.32,11.26
Price/Free Cash Flow,15.15,7.21,9.69,11.20,16.38,9.53,12.78,9.87,11.20,13.02
Price/Free Cash Flow Average,12.95,6.82,7.65,10.36,14.16,11.76,9.96,9.14,12.49,12.38
Price/Free Cash Flow High,16.46,8.03,10.08,13.02,16.67,13.15,12.87,11.95,14.33,13.75
Price/Free Cash Flow Low,9.26,5.53,6.40,8.27,12.13,9.16,6.60,6.45,10.43,10.03
EV/Sales,0.78,0.75,0.90,1.50,1.23,1.03,1.49,1.59,1.27,1.35
EV/Sales Average,0.69,0.72,0.72,1.42,1.10,1.20,1.21,1.50,1.37,1.30
EV/Sales High,0.84,0.82,0.93,1.68,1.24,1.31,1.49,1.85,1.52,1.41
EV/Sales Low,0.54,0.61,0.62,1.22,0.98,1.00,0.88,1.18,1.21,1.12
EV/EBITDA,11.17,8.95,10.59,16.55,12.11,10.13,15.07,15.69,11.79,13.25
EV/EBITDA Average,9.87,8.57,8.57,15.66,10.82,11.86,12.28,14.81,12.76,12.77
EV/EBITDA High,11.94,9.78,10.97,18.50,12.27,12.94,15.16,18.18,14.14,13.80
EV/EBITDA Low,7.69,7.27,7.33,13.42,9.65,9.83,8.96,11.59,11.21,11.00
EV/EBIT,13.96,10.49,11.80,20.45,17.96,13.48,19.18,20.26,15.11,17.14
EV/EBIT Average,12.34,10.04,9.55,19.35,16.06,15.79,15.63,19.13,16.35,16.52
EV/EBIT High,14.93,11.46,12.22,22.86,18.21,17.23,19.29,23.48,18.12,17.86
EV/EBIT Low,9.62,8.51,8.17,16.59,14.32,13.09,11.40,14.96,14.36,14.23
Last Price,45.27,41.40,57.24,51.14,64.57,52.40,98.07,103.98,88.86,105.19
High Price,49.18,46.13,59.52,59.45,65.70,72.30,98.76,125.84,113.75,111.12
Low Price,27.65,31.76,37.79,37.79,47.81,50.33,50.66,68.00,82.75,81.07
Enterprise Value,4525,3787,4553,10594,12484,10450,16476,19592,17431,19439
Enterprise Value Average,3998,3623,3686,10021,11159,12235,13427,18503,18869,18730
Enterprise Value High,4837,4137,4717,11841,12655,13356,16573,22703,20916,20251
Enterprise Value Low,3115,3073,3153,8592,9953,10148,9791,14471,16576,16135
