,2014,2015,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,3622,3064,4121,7671,9750,7650,13828,14799,12440,14411
- Cash & Cash Equivalents,430,443,656,376,390,327,668,524,727,516
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,12,13,3,4,9,53,54
+ Total Debt,1333,1166,1088,3287,3111,3124,3312,5308,5665,5490
Enterprise Value,4525,3787,4553,10594,12484,10450,16476,19592,17431,19439
Total Capital,1358,742,811,3122,3117,3499,4212,6645,7598,7911
Total Debt/Capital (%),98.16,157.14,134.16,105.29,99.81,89.28,78.63,79.88,74.56,69.40
Total Debt / EV,0.29,0.31,0.24,0.31,0.25,0.30,0.20,0.27,0.32,0.28
EV/Sales,0.78,0.75,0.90,1.50,1.23,1.03,1.49,1.59,1.27,1.35
EV/EBITDA,11.17,8.95,10.59,16.55,12.11,10.13,15.07,15.69,11.79,13.25
EV/EBIT,13.96,10.49,11.80,20.45,17.96,13.48,19.18,20.26,15.11,17.14
EV/Cash Flow to Firm,16.50,7.83,10.14,20.36,18.83,11.62,15.05,13.25,14.83,17.03
EV/Free Cash Flow to Firm,13.83,7.39,9.57,19.29,16.78,10.74,13.55,11.79,13.62,15.30
Diluted Market Cap,3757,3064,4236,5319,9944,8017,14220,14973,12707,14516
Diluted Enterprise Value,4660,3787,4668,8242,12678,10817,16868,19766,17698,19544
EV per Share,56.56,51.17,63.24,70.63,82.68,71.58,116.85,137.66,124.51,141.89
TTM Sales,5772,5063,5086,7043,10170,10194,11094,12297,13737,14396
TTM EBITDA,405,423,430,640,1031,1032,1093,1249,1479,1467
TTM Operating Income,324,361,386,518,695,775,859,967,1154,1134
TTM Cash Flow to Firm,274,483,449,520,663,900,1095,1478,1175,1142
TTM Free Cash Flow to Firm,327,512,476,549,744,973,1216,1661,1279,1271
