,2014,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,1.63,0.99,0.26,0.17,0.23,0.18,0.31,0.11,0.16
Current Ratio,0,4.13,3.69,1.95,1.52,1.85,1.37,1.99,1.41,1.88
Quick Ratio,0,2.51,1.88,0.93,0.67,0.76,0.58,0.88,0.47,0.75
CFO/Avg Current Liab,0,2.03,0.65,0.81,0.59,0.65,0.54,0.40,0.50,0.44
Common Equity/Total Assets,0,86.02,30.47,31.95,37.99,39.35,42.33,41.32,43.89,45.39
Long-Term Debt/Equity (%),0,21.85,117.76,111.34,75.84,74.84,54.24,62.52,43.22,42.84
Long-Term Debt/Capital (%),0,14.67,58.05,54.12,44.22,45.77,36.03,41.85,31.50,33.75
Long-Term Debt/Total Assets (%),0,14.80,42.16,40.25,33.79,34.98,27.28,31.23,23.34,24.46
Total Debt/Equity (%),0,21.85,117.76,117.35,86.26,79.27,66.34,66.61,55.89,47.36
Total Debt/Capital (%),0,14.67,58.05,57.04,50.29,48.48,44.07,44.60,40.73,37.32
Total Debt/Total Assets (%),0,14.80,42.16,42.42,38.43,37.05,33.37,33.28,30.18,27.04
CFO/Total Liabilities,0,33.83,4.90,9.64,10.81,13.60,12.95,9.86,13.89,14.21
CFO/CapEx,0,7.27,5.14,8.84,10.14,10.74,3.92,10.22,9.86,6.84
Altman's Z-Score,0,7.45,3.75,4.43,4.98,4.96,5.10,4.78,4.36,5.37
