,2014,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,0,18876,20166,20099,23736,20331,29750,30680,26028,26648
- Cash & Cash Equivalents,0,1083,1453,634,524,543,618,802,378,376
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,2,2,1,0,5,5,5,6,7
+ Total Debt,0,1426,11556,11245,10143,8939,8221,8127,7079,5697
Enterprise Value,0,18608,30106,30711,33353,28731,37358,38010,32735,31975
Total Capital,0,9715,19909,19717,20168,18438,18657,18222,17380,15266
Total Debt/Capital (%),0,14.67,58.05,57.04,50.29,48.48,44.07,44.60,40.73,37.32
Total Debt / EV,0,0.08,0.38,0.37,0.30,0.31,0.22,0.21,0.22,0.18
EV/Sales,0,3.98,5.02,4.00,4.26,3.62,4.68,5.41,4.79,4.61
EV/EBITDA,0,10.40,15.34,12.36,11.88,13.13,16.41,21.96,16.85,15.09
EV/EBIT,0,13.17,24.29,21.26,19.10,25.04,29.42,54.46,32.56,26.82
EV/Cash Flow to Firm,0,16.90,15.04,16.16,11.75,13.32,19.99,29.00,19.42,22.78
EV/Free Cash Flow to Firm,0,14.94,13.87,14.72,11.14,12.39,16.43,26.61,17.82,20.09
Diluted Market Cap,17101,19099,18882,20279,23865,20281,29851,30592,26202,26813
Diluted Enterprise Value,17101,19443,28988,30892,33482,28682,37459,37921,32909,32141
EV per Share,0,109.65,148.53,153.10,164.63,140.84,181.35,183.09,156.62,152.99
TTM Sales,0,4673,5998,7684,7824,7933,7982,7025,6827,6940
TTM EBITDA,0,1789,1963,2484,2809,2188,2276,1731,1943,2119
TTM Operating Income,0,1413,1240,1445,1746,1147,1270,698,1005,1192
TTM Cash Flow to Firm,0,1101,2002,1901,2838,2157,1869,1311,1685,1404
TTM Free Cash Flow to Firm,0,1246,2170,2086,2994,2319,2274,1429,1837,1592
