,2014,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,10.25,5.07,5.03,5.05,5.73,6.05,4.99,5.03,5.26
Days Sales Outstanding,0,35.62,71.97,72.62,72.29,63.73,60.35,73.18,72.50,69.45
Inventory Turnover,0,2.14,1.07,1.11,1.05,1.05,0.97,0.88,0.85,0.94
Days Inventory Outstanding,0,170.70,341.64,328.58,346.63,348.49,376.04,414.66,428.11,388.15
Accounts Payable Turnover,-14.69,28.95,13.25,6.28,6.46,7.06,6.24,6.00,5.21,6.11
Accounts Payable Turnover Days,-24.85,12.61,27.54,58.16,56.46,51.68,58.52,60.80,70.07,59.72
Cash Conversion Cycle,0,193.71,386.07,343.05,362.45,360.55,377.88,427.04,430.54,397.88
Inventory to Cash Days,0,-135.08,-269.67,-255.96,-274.34,-284.76,-315.69,-341.48,-355.61,-318.70
Inventories,0,1169,2307,1969,2082,2257,2385,2451,2148,2147
Raw Materials,0,181,280,261,250,228,279,272,243,261
Work In Process,0,88,146,142,200,230,231,224,176,231
Finished Goods,0,900,1828,1557,1632,1798,1875,1955,1729,1655
Other Inventory,0,0,53,10,0,0,0,0,0,0
