,2014,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,26.11,375.12,66.16,12.86,0,26.18,0,64.69,115.49
Price/Earnings Average,0,23.92,398.23,72.85,12.63,-61.23,22.58,-193.01,77.23,105.24
Price/Earnings High,0,26.46,446.03,85.39,14.22,-70.10,26.69,-238.95,90.95,122.33
Price/Earnings Low,0,21.58,324.97,56.59,10.93,-50.53,17.35,-107.60,58.80,90.93
Price/Book Value,0,2.28,2.41,2.37,2.37,2.14,2.85,3.04,2.53,2.79
Price/Book Value Average,0,2.09,2.56,2.61,2.33,2.45,2.46,2.66,3.02,2.54
Price/Book Value High,0,2.31,2.87,3.06,2.62,2.81,2.91,3.30,3.55,2.95
Price/Book Value Low,0,1.88,2.09,2.03,2.01,2.02,1.89,1.49,2.30,2.19
Price/Tangible Book Value,0,5.54,-2.30,-2.08,-3.27,-3.39,-6.66,-7.45,-14.57,-16.48
Price/Tangible Book Value Average,0,5.08,-2.44,-2.29,-3.21,-3.88,-5.75,-6.53,-17.39,-15.02
Price/Tangible Book Value High,0,5.62,-2.73,-2.69,-3.61,-4.44,-6.79,-8.08,-20.48,-17.46
Price/Tangible Book Value Low,0,4.58,-1.99,-1.78,-2.78,-3.20,-4.42,-3.64,-13.24,-12.98
Price/Sales,0,4.02,3.11,2.61,3.02,2.56,3.71,4.36,3.80,3.85
Price/Sales Average,0,3.69,3.30,2.87,2.97,2.93,3.20,3.82,4.54,3.51
Price/Sales High,0,4.08,3.70,3.37,3.34,3.35,3.78,4.72,5.35,4.08
Price/Sales Low,0,3.33,2.69,2.23,2.57,2.42,2.46,2.13,3.46,3.03
Price/Cash Flow,0,17.86,21.61,12.28,14.95,11.61,18.68,25.40,17.33,20.80
Price/Cash Flow Average,0,16.36,22.94,13.52,14.69,13.29,16.11,22.26,20.69,18.96
Price/Cash Flow High,0,18.10,25.69,15.85,16.54,15.21,19.04,27.56,24.36,22.03
Price/Cash Flow Low,0,14.76,18.72,10.50,12.71,10.97,12.38,12.41,15.75,16.38
Price/Free Cash Flow,0,15.95,18.32,11.16,13.73,10.62,15.00,23.13,15.87,18.21
Price/Free Cash Flow Average,0,14.61,19.45,12.29,13.49,12.16,12.94,20.27,18.95,16.59
Price/Free Cash Flow High,0,16.16,21.79,14.41,15.19,13.92,15.29,25.10,22.31,19.29
Price/Free Cash Flow Low,0,13.18,15.87,9.55,11.67,10.03,9.94,11.30,14.42,14.34
EV/Sales,0,3.98,5.02,4.00,4.26,3.62,4.68,5.41,4.79,4.61
EV/Sales Average,0,3.77,5.25,4.26,4.21,3.99,4.17,4.87,5.53,4.27
EV/Sales High,0,4.17,5.68,4.76,4.59,4.42,4.75,5.78,6.34,4.83
EV/Sales Low,0,3.41,4.60,3.62,3.81,3.48,3.42,3.18,4.45,3.79
EV/EBITDA,0,10.40,15.34,12.36,11.88,13.13,16.41,21.96,16.85,15.09
EV/EBITDA Average,0,9.86,16.05,13.18,11.73,14.48,14.62,19.77,19.44,13.98
EV/EBITDA High,0,10.89,17.36,14.72,12.77,16.02,16.67,23.47,22.29,15.84
EV/EBITDA Low,0,8.92,14.05,11.19,10.61,12.62,12.01,12.90,15.63,12.42
EV/EBIT,0,13.17,24.29,21.26,19.10,25.04,29.42,54.46,32.56,26.82
EV/EBIT Average,0,12.49,25.42,22.67,18.87,27.61,26.20,49.03,37.58,24.84
EV/EBIT High,0,13.79,27.50,25.31,20.55,30.55,29.88,58.20,43.07,28.15
EV/EBIT Low,0,11.29,22.24,19.25,17.07,24.07,21.52,31.98,30.20,22.07
Last Price,101.31,111.23,99.49,100.19,117.16,99.66,144.42,147.79,124.53,127.50
High Price,105.17,112.76,118.29,129.33,129.60,130.63,147.25,160.34,175.11,135.05
Low Price,87.84,91.97,86.18,85.70,99.60,94.17,95.73,72.20,113.20,100.39
Enterprise Value,0,18608,30106,30711,33353,28731,37358,38010,32735,31975
Enterprise Value Average,0,17639,31513,32745,32939,31677,33270,34216,37783,29611
Enterprise Value High,0,19479,34083,36556,35875,35049,37942,40616,43304,33553
Enterprise Value Low,0,15951,27575,27804,29797,27610,27328,22319,30367,26309
