,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,9764,8570,9094,9426,12572,7575,10950,10737,17031,14276
- Cash & Cash Equivalents,150,115,87,227,280,332,523,312,274,278
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,8,56,40,16,15,38
+ Total Debt,1306,1865,1585,3342,3404,4311,5401,4291,4224,3935
Enterprise Value,10919,10319,10591,12541,15705,11610,15868,14731,20996,17971
Total Capital,2630,3571,3714,5935,6540,7969,9584,9086,10036,10632
Total Debt/Capital (%),49.64,52.22,42.67,56.30,52.05,54.09,56.35,47.23,42.09,37.01
Total Debt / EV,0.12,0.18,0.15,0.27,0.22,0.37,0.34,0.29,0.20,0.22
EV/Sales,2.16,1.53,1.47,1.46,1.61,0.98,1.27,1.27,1.60,1.40
EV/EBITDA,17.42,13.06,12.43,12.45,14.31,9.35,12.25,10.88,11.80,10.53
EV/EBIT,20.21,15.53,14.63,15.65,18.11,12.25,16.18,13.96,14.05,12.46
EV/Cash Flow to Firm,23.66,24.99,18.64,18.06,26.65,14.17,13.62,9.70,14.76,13.74
EV/Free Cash Flow to Firm,19.79,18.63,14.34,13.91,20.44,10.86,11.09,8.71,12.24,11.74
Diluted Market Cap,9872,8643,9151,9495,12634,7568,11102,10788,17667,14848
Diluted Enterprise Value,11027,10393,10648,12609,15767,11603,16019,14782,21632,18543
EV per Share,36.30,34.01,34.66,40.78,50.80,36.72,51.73,48.53,73.15,67.23
TTM Sales,5063,6740,7193,8584,9737,11877,12506,11629,13089,12794
TTM EBITDA,627,790,852,1007,1097,1242,1295,1354,1779,1706
TTM Operating Income,540,665,724,801,867,948,981,1055,1495,1442
TTM Cash Flow to Firm,462,413,568,695,589,819,1165,1518,1422,1308
TTM Free Cash Flow to Firm,552,554,739,902,768,1069,1431,1691,1716,1530
