,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,2828,3031,2768,3621,3568,3164,3070,3158,3124,3678
ST Debt,229,778,151,415,581,220,85,49,106,736
LT Debt,2599,2253,2617,3207,2987,2944,2986,3109,3019,2943
Total Debt/EBITDA,1.59,1.99,2.22,3.37,2.73,2.81,2.37,2.61,1.99,2.18
Net Debt/EBITDA,1.14,1.54,1.93,3.04,2.15,2.46,2.07,2.14,1.74,1.95
Total Debt/EBIT,2.09,2.49,3.01,5.07,3.90,3.75,3.00,3.38,2.44,2.67
Net Debt/EBIT,1.50,1.93,2.61,4.58,3.08,3.28,2.62,2.78,2.14,2.39
EBITDA to Interest Expense,14.24,11.56,9.48,7.88,9.01,8.59,10.29,10.83,14.78,14.49
EBITDA-CapEx/Interest Expense,12.34,10.30,8.31,6.67,7.66,7.29,8.80,9.35,13.17,12.59
EBIT to Interest Expense,10.86,9.23,6.99,5.24,6.30,6.44,8.12,8.33,12.05,11.84
Interest Expense,125,132,132,136,145,131,126,112,106,116
Common Equity/Total Assets,76.29,80.64,92.15,80.90,81.75,96.50,97.70,96.89,93.28,96.20
Long-Term Debt/Equity (%),48.34,60.88,71.81,84.39,68.14,106.32,98.45,91.82,72.05,68.65
Long-Term Debt/Capital (%),23.55,21.74,24.44,27.16,24.32,26.20,25.87,25.85,23.53,20.78
Long-Term Debt/Total Assets (%),24.15,24.78,30.36,31.70,28.02,35.19,34.44,33.97,29.02,27.00
Total Debt/Equity (%),52.60,81.90,75.96,95.30,81.40,114.28,101.24,93.26,74.58,85.81
Total Debt/Capital (%),25.62,29.25,25.85,30.67,29.05,28.16,26.61,26.26,24.35,25.97
Total Debt/Total Assets (%),26.28,33.34,32.12,35.80,33.48,37.82,35.42,34.50,30.03,33.76
Net Debt to Equity,37.65,63.49,66.02,86.11,64.20,99.97,88.15,76.67,65.38,76.93
Net Debt/Capital (%),19.78,24.27,23.25,28.56,24.41,25.53,23.99,22.55,22.01,23.93
EBITDA,1776,1523,1248,1075,1309,1126,1294,1212,1572,1687
EBITDA-CapEx,1539,1357,1094,910,1112,955,1107,1046,1400,1466
Operating Income (Loss),1354,1215,921,714,914,843,1022,933,1282,1379
