,2020,2021,2022
Price/Earnings,0,36.50,14.10
Price/Earnings Average,-5.37,28.22,18.07
Price/Earnings High,-6.35,38.29,20.44
Price/Earnings Low,-3.43,18.43,13.63
Price/Book Value,-1.87,-4.15,-3.81
Price/Book Value Average,-2.11,-3.21,-4.88
Price/Book Value High,-2.49,-4.35,-5.52
Price/Book Value Low,-1.35,-2.09,-3.68
Price/Tangible Book Value,2.36,5.21,6.68
Price/Tangible Book Value Average,2.65,4.03,8.56
Price/Tangible Book Value High,3.13,5.46,9.69
Price/Tangible Book Value Low,1.69,2.63,6.46
Price/Sales,0.67,1.29,0.85
Price/Sales Average,0.76,1.00,1.08
Price/Sales High,0.89,1.35,1.23
Price/Sales Low,0.48,0.65,0.82
Price/Cash Flow,7.76,9.74,6.49
Price/Cash Flow Average,8.74,7.53,8.31
Price/Cash Flow High,10.33,10.21,9.40
Price/Cash Flow Low,5.58,4.92,6.27
Price/Free Cash Flow,4.97,7.44,4.76
Price/Free Cash Flow Average,5.59,5.75,6.11
Price/Free Cash Flow High,6.61,7.81,6.91
Price/Free Cash Flow Low,3.57,3.76,4.60
EV/Sales,0.86,1.52,1.14
EV/Sales Average,0.95,1.22,1.37
EV/Sales High,1.08,1.58,1.52
EV/Sales Low,0.67,0.88,1.11
EV/EBITDA,7.66,11.14,7.08
EV/EBITDA Average,8.41,8.99,8.55
EV/EBITDA High,9.63,11.60,9.43
EV/EBITDA Low,5.97,6.45,6.91
EV/EBIT,21.02,23.91,12.05
EV/EBIT Average,23.08,19.30,14.55
EV/EBIT High,26.44,24.91,16.04
EV/EBIT Low,16.40,13.85,11.75
Last Price,10.30,20.40,14.90
High Price,13.70,21.40,21.60
Low Price,7.40,10.30,14.40
Enterprise Value,7757,14181,11822
Enterprise Value Average,8516,11446,14275
Enterprise Value High,9758,14772,15737
Enterprise Value Low,6050,8214,11530
