,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.06,0.04,0.05,0.06,0.06,0.06,0.04,0.17,0.11,0.09
Current Ratio,1.64,1.56,1.41,1.40,1.34,1.28,1.24,1.21,1.18,1.15
Quick Ratio,0.58,0.56,0.52,0.51,0.50,0.48,0.42,0.43,0.38,0.37
CFO/Avg Current Liab,0.37,0.23,0.31,0.23,0.17,0.20,0.15,0.33,0.20,0.21
Common Equity/Total Assets,48.78,48.77,50.06,47.48,34.36,35.38,32.21,30.69,29.46,28.39
Long-Term Debt/Equity (%),14.89,15.09,7.91,17.15,73.61,70.05,96.29,102.73,91.30,102.85
Long-Term Debt/Capital (%),11.06,10.42,5.30,10.79,33.72,31.78,39.89,43.48,42.99,44.16
Long-Term Debt/Total Assets (%),6.51,6.06,3.07,6.21,20.54,19.18,24.30,24.60,22.29,23.72
Total Debt/Equity (%),22.77,23.11,19.78,27.28,93.67,90.53,113.18,107.72,91.30,109.47
Total Debt/Capital (%),16.91,15.95,13.26,17.17,42.91,41.08,46.89,45.59,42.99,47.00
Total Debt/Total Assets (%),9.96,9.28,7.67,9.88,26.14,24.78,28.56,25.79,22.29,25.25
CFO/Total Liabilities,24.45,16.01,23.25,16.74,9.11,12.43,8.15,19.76,11.60,11.56
CFO/CapEx,8.52,7.34,10.58,5.89,5.20,4.93,3.21,13.16,4.73,4.32
Altman's Z-Score,5.69,5.92,5.46,5.16,4.05,4.24,3.53,3.52,3.80,4.06
