,2019,2020,2021,2022
Market Capitalization,19519,0,0,24873
- Cash & Cash Equivalents,190,569,361,825
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,1301,1718,2844,3711
+ Total Debt,6777,7563,8792,10160
Enterprise Value,27407,8713,11274,37918
Total Capital,8079,9283,11637,13872
Total Debt/Capital (%),83.89,81.48,75.55,73.24
Total Debt / EV,0.25,0.87,0.78,0.27
EV/Sales,17.90,4.62,5.33,14.65
EV/EBITDA,28.05,7.13,8.42,24.40
EV/EBIT,63.39,16.63,21.76,60.54
EV/Cash Flow to Firm,31.96,8.27,9.78,27.31
EV/Free Cash Flow to Firm,31.96,8.27,9.78,27.31
Diluted Market Cap,18182,0,0,23549
Diluted Enterprise Value,26070,8713,11274,36594
EV per Share,226.88,63.74,71.34,222.07
TTM Sales,1531,1886,2114,2589
TTM EBITDA,977,1222,1339,1554
TTM Operating Income,432,524,518,626
TTM Cash Flow to Firm,858,1054,1152,1389
TTM Free Cash Flow to Firm,858,1054,1152,1389
