,2019,2020,2021,2022
Price/Earnings,50.37,0,0,45.14
Price/Earnings Average,45.37,0,0,53.12
Price/Earnings High,50.97,0,0,69.71
Price/Earnings Low,34.49,0,0,33.85
Price/Book Value,16158.04,0,0,14571.13
Price/Book Value Average,14554.38,0,0,17145.66
Price/Book Value High,16351.04,0,0,22501.38
Price/Book Value Low,11066.03,0,0,10925.10
Price/Tangible Book Value,1.92,0,0,1.10
Price/Tangible Book Value Average,1.73,0,0,1.29
Price/Tangible Book Value High,1.94,0,0,1.69
Price/Tangible Book Value Low,1.31,0,0,0.82
Price/Sales,11.84,0,0,9.10
Price/Sales Average,10.66,0,0,10.70
Price/Sales High,11.98,0,0,14.05
Price/Sales Low,8.11,0,0,6.82
Price/Cash Flow,26.51,0,0,18.19
Price/Cash Flow Average,23.88,0,0,21.41
Price/Cash Flow High,26.83,0,0,28.10
Price/Cash Flow Low,18.16,0,0,13.64
Price/Free Cash Flow,26.59,0,0,18.19
Price/Free Cash Flow Average,23.95,0,0,21.41
Price/Free Cash Flow High,26.90,0,0,28.10
Price/Free Cash Flow Low,18.21,0,0,13.64
EV/Sales,17.90,4.62,5.33,14.65
EV/Sales Average,16.63,4.62,5.33,16.34
EV/Sales High,18.05,4.62,5.33,19.87
EV/Sales Low,13.88,4.62,5.33,12.24
EV/EBITDA,28.05,7.13,8.42,24.40
EV/EBITDA Average,26.07,7.13,8.42,27.23
EV/EBITDA High,28.29,7.13,8.42,33.11
EV/EBITDA Low,21.76,7.13,8.42,20.39
EV/EBIT,63.39,16.63,21.76,60.54
EV/EBIT Average,58.91,16.63,21.76,67.55
EV/EBIT High,63.93,16.63,21.76,82.15
EV/EBIT Low,49.16,16.63,21.76,50.60
Last Price,161.58,0,0,145.67
High Price,163.51,0,0,224.95
Low Price,110.66,0,0,109.22
Enterprise Value,27407,8713,11274,37918
Enterprise Value Average,25470,8713,11274,42313
Enterprise Value High,27641,8713,11274,51455
Enterprise Value Low,21256,8713,11274,31695
