,2019,2020,2021,2022
Sales/Revenue/Turnover,895,1226,1510,2601
+ Sales & Services Revenue,895,1226,1510,2601
- Cost of Revenue,19,33,49,82
+ Cost of Goods & Services,19,33,49,82
Gross Profit,876,1192,1461,2518
+ Other Operating Income,0,0,0,0
- Operating Expenses,28,279,17,886
"+ Selling, General & Admin",25,31,33,48
+ Research & Development,0,0,0,0
+ Other Operating Expense,4,248,-16,838
Operating Income (Loss),847,913,1444,1632
- Non-Operating (Income) Loss,292,16,418,493
"+ Interest Expense, Net",228,302,392,530
+ Interest Expense,248,309,392,540
- Interest Income,20,7,0,10
+ Other Non-Op (Income) Loss,63,-286,26,-37
Pretax Income,556,897,1026,1139
- Income Tax Expense (Benefit),2,1,3,3
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,554,896,1023,1136
- Net Extraordinary Losses (Gains),17,9,19,37
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,17,9,19,37
Income (Loss) Incl. MI,538,887,1005,1099
- Minority Interest,-8,-5,-9,-19
"Net Income, GAAP",546,892,1014,1118
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",546,892,1014,1118
Basic Weighted Avg Shares,435,506,564,878
"Basic EPS, GAAP",1.25,1.76,1.80,1.27
Basic EPS from Cont Ops,1.27,1.77,1.81,1.29
Diluted Weighted Avg Shares,439,511,577,880
"Diluted EPS, GAAP",1.24,1.75,1.76,1.27
Diluted EPS from Cont Ops,1.26,1.75,1.77,1.29
EBITDA,851,917,1447,1636
EBITDA Margin (%),95.14,74.82,95.88,62.89
EBITA,847,913,1444,1632
EBIT,847,913,1444,1632
Gross Margin (%),97.89,97.27,96.78,96.84
Operating Margin (%),94.71,74.52,95.68,62.77
Profit Margin (%),61.02,72.76,67.16,42.97
Sales per Employee,6391414,8337238,9931368,113073783
Dividend per Share,1.16,1.21,1.34,1.39
Depreciation Expense,4,4,3,3
