,2019,2020,2021,2022
Sales/Revenue/Turnover,2961,2766,2889,3109
+ Sales & Services Revenue,2961,2766,2889,3109
- Cost of Revenue,1094,1042,1046,1149
+ Cost of Goods & Services,1094,1042,1046,1149
Gross Profit,1866,1724,1842,1959
+ Other Operating Income,0,0,0,0
- Operating Expenses,819,817,869,898
"+ Selling, General & Admin",141,133,152,148
+ Research & Development,0,0,0,0
+ Other Operating Expense,678,684,717,750
Operating Income (Loss),1048,907,973,1061
- Non-Operating (Income) Loss,396,-112,341,41
"+ Interest Expense, Net",394,426,418,425
+ Interest Expense,413,432,423,437
- Interest Income,19,6,6,12
+ Other Non-Op (Income) Loss,2,-538,-76,-384
Pretax Income,652,1019,632,1021
- Income Tax Expense (Benefit),0,0,0,0
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,652,1019,632,1021
- Net Extraordinary Losses (Gains),261,293,253,343
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,261,293,253,343
Income (Loss) Incl. MI,391,726,378,677
- Minority Interest,-130,-146,-127,-172
"Net Income, GAAP",522,872,505,849
- Preferred Dividends,11,11,9,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",511,862,496,849
Basic Weighted Avg Shares,155,155,156,157
"Basic EPS, GAAP",3.31,5.54,3.18,5.42
Basic EPS from Cont Ops,4.22,6.55,4.05,6.51
Diluted Weighted Avg Shares,155,156,156,157
"Diluted EPS, GAAP",3.30,5.54,3.17,5.40
Diluted EPS from Cont Ops,4.21,6.55,4.04,6.49
EBITDA,1728,1593,1694,1814
EBITDA Margin (%),58.36,57.59,58.64,58.34
EBITA,1050,909,977,1064
EBIT,1048,907,973,1061
Gross Margin (%),63.03,62.33,63.78,63.03
Operating Margin (%),35.39,32.79,33.69,34.15
Profit Margin (%),17.62,31.54,17.49,27.31
Sales per Employee,3895476,3687581,3887781,3985360
Dividend per Share,4.31,4.43,4.38,4.37
Depreciation Expense,678,684,717,750
