,2019,2020,2021,2022
+ Net Income,652,1019,632,1021
+ Depreciation & Amortization,680,686,721,752
+ Non-Cash Items,79,-438,5,-283
+ Stock-Based Compensation,41,44,51,52
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,24,0,0,0
+ Other Non-Cash Adj,14,-482,-46,-335
+ Chg in Non-Cash Work Cap,-230,-110,-224,-208
+ (Inc) Dec in Accts Receiv,-82,-75,-97,-106
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,3,12,-21,20
+ Inc (Dec) in Accts Payable,13,12,9,-14
+ Inc (Dec) in Other,-165,-60,-115,-108
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,1181,1157,1133,1282
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,0,0,0,0
+ Acq of Fixed Prod Assets,0,0,0,0
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,-2,3,1,2
+ Dec in LT Investment,0,3,1,5
+ Inc in LT Investment,-2,0,0,-2
+ Net Cash From Acq & Div,-87,-172,-80,-278
+ Cash from Divestitures,0,0,18,0
+ Cash for Acq of Subs,-87,-172,-98,-278
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-926,-444,-961,-1328
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-1015,-614,-1040,-1603
+ Dividends Paid,-666,-689,-684,-685
+ Net Cash From Debt,802,1231,-130,1335
+ Cash From Debt,1928,1513,3669,2465
+ Repayments of Debt,-1126,-282,-3799,-1130
+ Cash (Repurchase) of Equity,14,3,24,0
+ Increase in Capital Stock,14,3,24,0
+ Decrease in Capital Stock,0,0,0,0
+ Other Financing Activities,-263,-61,-522,-93
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-113,484,-1311,556
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,53,1027,-1218,236
EBITDA,1728,1593,1694,1814
EBITDA Margin (%),58.36,57.59,58.64,58.34
Net Cash Paid for Acquisitions,87,172,80,278
Free Cash Flow,1181,1157,1133,1282
Free Cash Flow to Firm,1594,1589,1557,1720
Free Cash Flow to Equity,0,2377,794,2617
Free Cash Flow per Basic Share,7.64,7.44,7.26,8.18
Price/Free Cash Flow,18.08,0,0,8.28
Cash Flow to Net Income,2.26,1.33,2.24,1.51
