,2019,2020,2021,2022
Price/Earnings,47.57,80.14,59.97,18.42
Price/Earnings Average,46.80,76.00,45.41,23.07
Price/Earnings High,52.30,96.83,60.54,29.53
Price/Earnings Low,37.51,50.11,31.75,17.76
Price/Book Value,-17.69,-12.32,-22.28,-20.53
Price/Book Value Average,-17.40,-11.68,-16.87,-25.71
Price/Book Value High,-19.45,-14.88,-22.49,-32.91
Price/Book Value Low,-13.95,-7.70,-11.80,-19.80
Price/Tangible Book Value,2.79,2.77,4.33,2.36
Price/Tangible Book Value Average,2.74,2.62,3.28,2.95
Price/Tangible Book Value High,3.06,3.34,4.37,3.78
Price/Tangible Book Value Low,2.20,1.73,2.29,2.27
Price/Sales,10.16,9.51,15.94,8.46
Price/Sales Average,9.99,9.02,12.07,10.60
Price/Sales High,11.17,11.49,16.09,13.56
Price/Sales Low,8.01,5.95,8.44,8.16
Price/Cash Flow,18.80,19.12,31.56,16.17
Price/Cash Flow Average,18.50,18.13,23.90,20.25
Price/Cash Flow High,20.68,23.10,31.86,25.91
Price/Cash Flow Low,14.83,11.96,16.71,15.59
Price/Free Cash Flow,10.95,10.50,18.26,10.15
Price/Free Cash Flow Average,10.77,9.95,13.83,12.72
Price/Free Cash Flow High,12.04,12.68,18.43,16.28
Price/Free Cash Flow Low,8.63,6.56,9.67,9.79
EV/Sales,12.53,12.02,18.44,11.00
EV/Sales Average,12.37,11.54,14.52,13.12
EV/Sales High,13.53,13.96,18.59,16.05
EV/Sales Low,10.41,8.53,10.84,10.71
EV/EBITDA,21.97,21.71,32.59,18.67
EV/EBITDA Average,21.69,20.84,25.67,22.26
EV/EBITDA High,23.72,25.22,32.86,27.25
EV/EBITDA Low,18.25,15.40,19.16,18.17
EV/EBIT,51.49,59.52,93.21,59.91
EV/EBIT Average,50.82,57.13,73.40,71.42
EV/EBIT High,55.59,69.13,93.99,87.41
EV/EBIT Low,42.78,42.22,54.81,58.29
Last Price,106.10,99.92,178.68,111.88
High Price,116.67,120.73,180.37,179.35
Low Price,83.67,62.48,94.59,107.90
Enterprise Value,12887,12550,21083,15656
Enterprise Value Average,12720,12047,16602,18664
Enterprise Value High,13914,14577,21258,22841
Enterprise Value Low,10707,8903,12397,15232
