,2019,2020,2021,2022
Market Capitalization,10313,9732,18458,11915
- Cash & Cash Equivalents,23,420,613,11
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,73,72,69,70
+ Total Debt,2524,3167,3170,3681
Enterprise Value,12887,12550,21083,15656
Total Capital,2014,2448,2411,3171
Total Debt/Capital (%),125.33,129.34,131.51,116.09
Total Debt / EV,0.20,0.25,0.15,0.24
EV/Sales,12.53,12.02,18.44,11.00
EV/EBITDA,21.97,21.71,32.59,18.67
EV/EBIT,51.49,59.52,93.21,59.91
EV/Cash Flow to Firm,20.27,20.59,31.27,18.25
EV/Free Cash Flow to Firm,12.35,12.11,19.12,11.98
Diluted Market Cap,10545,9936,18373,12126
Diluted Enterprise Value,13119,12754,20999,15867
EV per Share,132.58,128.85,204.10,147.00
TTM Sales,1028,1044,1144,1423
TTM EBITDA,587,578,647,838
TTM Operating Income,250,211,226,261
TTM Cash Flow to Firm,636,609,674,858
TTM Free Cash Flow to Firm,1043,1037,1103,1307
