,2019,2020,2021,2022
+ Net Income,147,24,238,460
+ Depreciation & Amortization,697,722,700,708
+ Non-Cash Items,130,333,287,231
+ Stock-Based Compensation,73,69,84,100
+ Deferred Income Taxes,16,-63,-9,33
+ Asset Impairment Charge,33,40,32,43
+ Other Non-Cash Adj,9,288,180,56
+ Chg in Non-Cash Work Cap,10,47,-35,-81
+ (Inc) Dec in Accts Receiv,-12,38,-38,-81
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,1,3,-28,-30
+ Inc (Dec) in Accts Payable,-6,12,-1,25
+ Inc (Dec) in Other,27,-5,32,5
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,985,1126,1190,1318
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-154,-129,-134,-214
+ Acq of Fixed Prod Assets,-154,-129,-134,-214
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,-13,-49,-1,-379
+ Dec in LT Investment,626,1239,1730,503
+ Inc in LT Investment,-639,-1289,-1731,-882
+ Net Cash From Acq & Div,-774,-271,-1258,-1176
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,-774,-271,-1258,-1176
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-6,3,-31,376
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-947,-446,-1423,-1394
+ Dividends Paid,-83,-208,-254,-307
+ Net Cash From Debt,870,1103,1174,200
+ Cash From Debt,2398,4091,6345,840
+ Repayments of Debt,-1528,-2988,-5171,-640
+ Cash (Repurchase) of Equity,-467,-859,-583,-432
+ Increase in Capital Stock,0,0,0,0
+ Decrease in Capital Stock,-467,-859,-583,-432
+ Other Financing Activities,-382,-505,1,371
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-62,-469,339,-167
Effect of Foreign Exchange Rates,-13,-9,-13,-3
Net Changes in Cash,-24,211,106,-243
EBITDA,1329,1412,1543,1703
EBITDA Margin (%),65.96,67.80,66.84,64.67
Net Cash Paid for Acquisitions,774,271,1258,1176
Free Cash Flow,831,997,1056,1103
Free Cash Flow to Firm,1141,0,1433,1453
Free Cash Flow to Equity,0,2101,2230,1303
Free Cash Flow per Basic Share,7.36,8.94,9.66,10.22
Price/Free Cash Flow,24.26,25.52,32.68,20.01
Cash Flow to Net Income,6.70,46.72,5.01,2.86
