,2019,2020,2021,2022
Sales/Revenue/Turnover,2015,2083,2309,2633
+ Sales & Services Revenue,2015,2083,2309,2633
- Cost of Revenue,493,477,545,669
+ Cost of Goods & Services,493,477,545,669
Gross Profit,1522,1607,1763,1965
+ Other Operating Income,0,0,0,0
- Operating Expenses,890,916,920,969
"+ Selling, General & Admin",193,194,220,262
+ Research & Development,0,0,0,0
+ Other Operating Expense,697,722,700,708
Operating Income (Loss),632,690,843,995
- Non-Operating (Income) Loss,445,708,591,470
"+ Interest Expense, Net",388,390,397,390
+ Interest Expense,393,393,400,400
- Interest Income,6,3,3,10
+ Other Non-Op (Income) Loss,57,318,194,80
Pretax Income,187,-18,253,526
- Income Tax Expense (Benefit),40,-42,15,66
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,147,24,238,460
- Net Extraordinary Losses (Gains),1,0,0,-3
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,1,0,0,-3
Income (Loss) Incl. MI,147,24,238,463
- Minority Interest,0,0,0,2
"Net Income, GAAP",147,24,238,461
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",147,24,238,461
Basic Weighted Avg Shares,113,112,109,108
"Basic EPS, GAAP",1.30,0.22,2.17,4.27
Basic EPS from Cont Ops,1.31,0.22,2.17,4.26
Diluted Weighted Avg Shares,115,113,111,109
"Diluted EPS, GAAP",1.28,0.21,2.14,4.22
Diluted EPS from Cont Ops,1.28,0.21,2.14,4.20
EBITDA,1329,1412,1543,1703
EBITDA Margin (%),65.96,67.80,66.84,64.67
EBITA,632,690,843,995
EBIT,632,690,843,995
Gross Margin (%),75.53,77.12,76.37,74.61
Operating Margin (%),31.36,33.14,36.52,37.80
Profit Margin (%),7.30,1.16,10.29,17.52
Sales per Employee,1365861,1404678,1446638,1435907
Dividend per Share,0.74,1.86,2.32,2.84
Depreciation Expense,697,722,700,708
